,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.8927123543605789 -0.2763988663692279 0.2428065679848514,0.08967969832279121
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,0.6631566229761512 -0.2177590453193803 0.6246248177923436,0.1180827565752433
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,-0.7768622911701237 -0.5210209061062404 -0.1662653530785438,0.24833091234999505
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.3833585764885846 -0.01796329124535596 0.10106573333246625,0.11041393399906367
4,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-0.9356654749458999 -0.2692031919040723 0.7760197721215654,0.04654133383998611
5,0.5406060457127135 0.7717485293729109 0.6096512345230409,1.8634948819762387 2.719693414305432 1.444733521922492,2.498376787951276
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.7103544834294097 0.6640423838844839 0.020590825245949126,0.22189562990440206
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.8532000553515895 -0.7218575292738829 -0.4459514777439382,0.12210575234536852
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.9641095139864243 1.3865780667238177 0.7516117504826828,0.5529760041695938
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.5606598169206813 -0.37663728773364563 0.32068242148131393,0.19030203054431968
10,0.9734054699761485 0.6374436832835502 -0.033328265469285245,1.1031716800670377 0.8850449046955364 -0.0977845734939374,0.28688020107743417
11,0.6085875274862944 -0.17020497734407258 0.6095479289945955,0.6991210172210048 -0.2010722114557059 0.7279889538630367,0.15224117471017493
12,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.7578703778179467 -0.7788403512605735 0.3972595454671784,0.12636685686283114
13,0.15480697464233661 -0.06429261157976174 0.2950942449151539,0.4812083011717498 -0.11562069060978342 0.8339341180288321,0.6320765827921785
14,-0.20644321961593937 0.19178134687800852 0.301841616627041,-0.37012780512051635 0.31031756344005873 0.49760668932334784,0.28136709448057484
15,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.2354592443302331 0.5231849725842362 -0.46414002846176616,0.1509557219387998
16,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.4127800040563234 -0.5435566091719033 -0.5218053420208599,0.040909786398865076
17,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.23665907226870397 0.44895592940051504 -0.4792539403696712,0.4205475379576481
18,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.34095741364196236 -0.46963029019955616 -0.6375458502117555,0.16765860772770866
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.38522192308228886 0.44961891396871156 0.6793857724728319,0.18031605220596636
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.225149789019278 0.6297890813038867 0.24284489760666403,0.21501369451910748
2,0.524791672853085 -0.20519735085596813 -0.3824335625669195,0.18453425748008875 -0.06318488261521574 -0.1417611513579457,0.4403020092723673
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.944173799943629 0.17497441793540905 -0.3156679221629814,0.2363212243408528
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.028812860391263722 0.02372753931719196 0.027684887233166235,0.03559464881110889
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.1579839757769015 -0.4064696414588068 -0.6802416938981561,0.30729481069809306
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.481564557787423 1.2084383109938786 0.3234896404752131,0.8107199479895303
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.3787909615574263 -0.7553744825961909 -0.04042984570872204,0.166568509216952
8,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.6746268099047468 0.8009089171875468 -0.7068710348289438,0.10544772751353505
9,0.942619589081253 0.47040988797254535 0.32417697153162406,0.8143913462510218 0.44151498075823314 0.3117266250285732,0.13203184862107503
10,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.8004956350009813 0.7217706230086354 -2.304045480847968,1.827153074401672
11,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.47212591355447653 0.38460168172729403 -0.014653011080339114,0.015958403003226533
12,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.35783753855506734 -0.2378942584674705 0.1752286376748441,0.5655178102702099
13,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.20378539535770943 -0.6685391814058022 0.6478134610656691,0.4668877830051113
14,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.4541798412241052 0.8505159354253881 0.855163668289915,0.12326948673216788
15,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-1.393261092158461 1.2138521433713154 -1.2451024664846622,0.7047980241128337
16,-0.6162954966159528 0.7727801919585868 0.07428498656102334,15.263304815186098 -27.978248996163252 -5.504491613850567,33.315253770549575
17,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.39605700847349684 -0.3175184839845275 0.4367579626769883,0.4637911325852697
0,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,0.5713192618781248 -1.3305142043323148 -0.5343324451338304,0.4936668236115859
1,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,5.305824992568271 -0.38059222859765396 -0.4869802029644631,4.7311142358929565
2,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,-2.570419608134207 3.1852592133744095 -2.3960642654429622,3.782306266252531
3,-0.5152301896980707 0.7010663648362798 0.6557070663883529,-0.4682971832152051 0.615888406157007 0.6008430419464955,0.11166043578745932
4,0.9357128184894121 -0.77672857139621 0.6911347922515148,1.126544104985922 -0.8543873379211668 0.7802796489812228,0.22448667979515163
