,original position,computed position,offset
0,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.45936156483947377 -0.3085876473553291 0.262742530322997,0.3192726139257361
1,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,-0.46583196635589524 -0.31242112786608406 -0.0996981282805941,0.6002285761628109
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4612196047998951 0.5383210180561541 0.8134169389410784,0.3557036291113088
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.19260609643638288 0.5387578511912848 0.20774351142522174,0.1274056814956613
2,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.9771858326746947 -0.18612454359061625 0.9793815329306464,0.3633088751508266
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.5260468229628736 0.09748706928766233 -0.1758745133311709,0.22639618477210907
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.1489231449316223 0.1226389788664076 0.1430930639253899,0.15812952051305668
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.1465398797172137 -0.402452593106233 -0.6735190177198848,0.29359048648706004
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.2609516516551547 1.028495367388325 0.2753202986036055,0.5276483144645991
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.38388221271954587 -0.765527315167858 -0.0409732549234048,0.1707614890300294
8,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.32466222155115676 0.29273320636665145 -0.9344667124463301,0.3223919164932244
9,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.4821419492188769 0.39276091224223686 -0.01496387112287858,0.00457589441444012
10,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.2938003484019982 -0.9638425956513507 0.9339620252300753,0.052555215813180414
11,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.48543146584994434 0.909039018881867 0.9140065572279669,0.18433779005013304
12,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-1.085940380548006 0.9461048370047632 -0.9704620719587528,0.23295819771376647
13,-0.6162954966159528 0.7727801919585868 0.07428498656102334,3.8930204932427213 -7.136062473098367 -1.4039619150029845,9.223282327837735
14,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.5741619693495832 -0.46030504237788267 0.6331659498875204,0.29523599658120525
0,0.2873539117652848 0.17775149387141687 0.73788310182956,-0.4524932258192482 -0.2755669252964306 -0.9436570143798223,1.8922073191303128
1,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.5249062962564282 0.2309015799069558 -0.2882099448354726,0.5574143894669875
0,0.23906275587545278 0.5912753088472846 -0.9346377744488021,0.21043351361146287 0.4876576147985304 -0.8062945319261896,0.16741639087559376
1,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.4180482166682864 0.13643646063919668 0.4708202601627224,0.0919711112002501
2,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,-0.07942045758390064 0.6395644276497691 -0.3131552400554554,0.3667107884310127
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,0.6331837129272814 0.0012370071606419277 0.1664618366961584,0.121943082978471
