,original position,computed position,offset
0,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.5676505510789678 -0.38133348866187533 0.3246809344657546,0.181729838373947
1,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,-0.6291898408813659 -0.4219809157104029 -0.13466025090496272,0.40909976949518195
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.5182205807317918 0.6048507645684817 0.9139451013969949,0.4883904502946465
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.2143931011726975 0.5997004696899064 0.23124281363373148,0.1843223524145311
2,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-1.0109883131247361 -0.1925629005905065 1.0132599662982336,0.4083818284944492
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.819726357520138 0.15191180085908187 -0.2740611061608152,0.11221755688187285
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.16632170591449427 0.13696678367917894 0.15981050163512267,0.18619138832642898
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.2394751473795336 -0.43507425775425856 -0.7281125571987719,0.40520113003348673
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.3534844749777326 1.1039697759381786 0.29552421721885636,0.6457678914562377
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.40291355161197 -0.8034790860070317 -0.04300454440266673,0.19166798746510783
8,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.3638115093941699 0.3280323443522838 -1.0471490754588406,0.4443370160758154
9,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5151559142532419 0.41965464145339104 -0.015988500319383512,0.040189512700810975
10,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.2867324253092564 -0.9406555389421761 0.9114938021603213,0.08270974954460517
11,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5117013759522714 0.9582331378986924 0.9634695026290757,0.2488740204882167
12,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-1.116899110769599 0.9730770400233061 -0.9981286676708468,0.27741657583846363
13,-0.6162954966159528 0.7727801919585868 0.07428498656102334,4.711517135634881 -8.63639959803 -1.6991409708212157,10.957339612835696
14,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.5652289890421205 -0.4531434815318283 0.6233149683463564,0.2987655340692093
0,0.2873539117652848 0.17775149387141687 0.73788310182956,0.25149779214114115 0.1531613499267264 0.5244888588670911,0.2177784181760137
1,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.7088018446434904 0.31179558510990574 -0.3891813491301397,0.3329177704844646
0,0.23906275587545278 0.5912753088472846 -0.9346377744488021,0.25099519051174196 0.5816550502352653 -0.9617101676259128,0.03111023697189579
1,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.37506388056604906 0.1224078619109108 0.42240982447693715,0.15762997755217367
2,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,-0.0860752055365835 0.6931543992388255 -0.339394942721855,0.30724684100767424
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,0.6835745367026002 0.0013354522225853857 0.1797094122528521,0.17242396218076186
4,-0.48557222210726536 0.04656211699465551 0.054762287781279895,-0.6154463723890174 0.04052266335744931 0.06357642839938084,0.1303129271656452
5,0.22810105003051162 0.022032056398898936 -0.07375328130959202,0.0660141787891549 0.006839934691154192 -0.021574989026919015,0.1709547559336421
6,0.34758265417485346 0.7503757077579636 0.5648865553917617,0.2950543728165866 0.5326844488282833 0.4650901240978262,0.2451693950228037
7,-0.2336591108178092 -0.7699083016314168 -0.6246799666255614,-0.28822038394960653 -0.8524335614931883 -0.698199139173817,0.12325753434656923
8,-0.35515071517162333 -0.14021877942376237 -0.6169159887661031,-0.5895500521310905 -0.26675656375256146 -1.3909937888976793,0.8186276935740813
9,0.3486618433966737 -0.37530556040317253 0.20829143488544966,0.3770639076474622 -0.43150248578937217 0.26439587269021697,0.08433551812823001
0,0.4833497251469756 0.9091897466229382 -0.21451008473400113,0.5014301027669873 0.7918335403661998 -0.20956786061930174,0.11884361480978375
1,-0.6596920086169953 -0.15710486182790317 0.9120426233588135,-0.6873068799462811 -0.32887227502271604 1.081040669856001,0.24254270773213552
2,0.20474108500020494 0.9078198758589864 -0.05414619750365035,0.13903710448208007 0.6784678148649259 -0.06380717939165334,0.23877335594489954
3,0.15689808217903778 -0.2566508667600682 0.1369822154602569,0.14438020129998955 -0.20443884967625978 0.05333337583024649,0.09939778891458877
4,-0.34061654539923025 0.9243184679200338 -0.07576408272836321,-0.2247999371982943 0.7743033891580386 0.029638521207333214,0.21685875474041164
5,0.015134342796090383 0.8998724666561146 0.13880872595899318,0.003632920907318545 0.6898919541065608 0.09668948597442213,0.21447174343701958
6,-0.009049349963646591 0.5685446704304429 0.07449062274473639,-0.009883896998077643 0.4906913414047122 0.055501397751022356,0.08014005225231169
7,-0.630533864971611 -0.9367623120990243 0.4049114758181418,-0.7528948436671913 -1.073108696901837 0.46519869681618203,0.19286548361955153
8,0.8211101854347589 -0.15180026960360804 0.6223159317136948,0.5219793954658649 -0.06014713304232976 0.48092674047065326,0.3433226330280255
9,0.13422131737747933 -0.9994571215606669 -0.6641065472262091,0.16303974284069947 -1.0120288799878672 -0.6507701990229594,0.03415272960583644
10,0.3270684165198672 0.40530285290193957 0.8328528516693943,0.3401803079889815 0.2867162194464194 0.8485449313078607,0.12033683017094851
11,0.9483010693778013 0.26109847508276895 -0.6262314443789425,0.755925815185822 0.2071977529219212 -0.5410841274721051,0.21717180261563185
12,0.9421973623915547 -0.15721170493156178 0.11124711861779102,-2.2641400764327804 0.5603920424032258 -0.2368970439030317,3.3040519468817147
13,-0.2332627846886135 0.3114746225806879 -0.47518458949006215,-0.26157311960820157 0.42535259354010607 -0.4269788116848281,0.12686001870920927
0,0.7659197142382532 -0.3569274698310385 -0.10475945604225356,0.6915424861968642 -0.3408664047825939 -0.12074291171340445,0.07775217499724879
1,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-0.6830566840650798 1.0973259842059593 0.9011241001517082,0.20862740002346256
2,0.8966228869889903 0.14305998979952528 0.44378847768839913,0.7303627952271029 0.09936362615815024 0.36811365996948026,0.1878256328218864
3,0.09208729051827058 0.6064053857407274 -0.31013453827118576,0.06953538651389098 0.4700280714812533 -0.2466672392791198,0.15210344591822506
4,0.500458164122882 0.24149497082571103 -0.6438540167082591,0.6084266808798275 0.24190677038469308 -0.8643249714720916,0.24548892456493324
