,original position,computed position,offset
0,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.5552567043726407 -0.3730076114237032 0.3175919855999658,0.19697416608193835
1,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,-0.5488774367881794 -0.3681175192914884 -0.11747165728301259,0.5022246939361577
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.48656374080425974 0.5679018965653027 0.8581144091141446,0.4146474508548963
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.20236203506635939 0.5660471666900612 0.21826619469298483,0.15167326881529447
2,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-1.0134826912360675 -0.19303800468226684 1.0157599491844955,0.41173677695254635
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.6533540463929318 0.12107966137185007 -0.21843744687042418,0.10109461905660551
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.15652620145142584 0.12890013517142931 0.15039847406238457,0.17039237170893837
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.1914164435799324 -0.41820493614789256 -0.6998811353802986,0.3474042826550278
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.310238924503771 1.0686965374565565 0.2860818426011303,0.5904136353316884
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.39343834636410435 -0.7845838931751558 -0.041993218565707424,0.18031224756277778
8,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.342095680600006 0.3084521660320193 -0.9846449779867786,0.3764964034022178
9,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.4987221270346215 0.4062674029647317 -0.015478457427661161,0.01918463744922597
10,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.2917883144624352 -0.9572419090783261 0.9275659698705537,0.0608336234765607
11,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.49791435045930704 0.9324149843402295 0.9375102630829236,0.21419527639176977
12,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-1.1094563154733272 0.9665926466286289 -0.9914773351725197,0.2665657315506612
13,-0.6162954966159528 0.7727801919585868 0.07428498656102334,4.2644311595349995 -7.816873098790478 -1.5379058362346705,10.010134644271544
14,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.5719115044512254 -0.458500847053727 0.6306842150790108,0.29605654828511246
0,0.2873539117652848 0.17775149387141687 0.73788310182956,-0.566894368710806 -0.34523685491791223 -1.1822361461386046,2.165667302261263
1,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.6117725738571914 0.26911327765510756 -0.33590555308770875,0.4513258882218403
0,0.23906275587545278 0.5912753088472846 -0.9346377744488021,0.2318431466444194 0.5372721956672438 -0.8883274255882324,0.07150599556801368
1,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.4055566612374458 0.13235964953725016 0.4567518413935733,0.11098061098983268
2,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,-0.08457797737010464 0.6810973813811333 -0.3334913649768368,0.3206067339641049
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,0.6617207936008879 0.0012927580784503929 0.17396413779122866,0.15039533588451487
4,-0.48557222210726536 0.04656211699465551 0.054762287781279895,-0.6135371136077079 0.040396952565529394 0.06337919942923576,0.12840277985895351
5,0.22810105003051162 0.022032056398898936 -0.07375328130959202,0.05147705772797967 0.005333698296493837 -0.016823915346526965,0.1863218251551804
6,0.34758265417485346 0.7503757077579636 0.5648865553917617,0.3042817705610284 0.5493433826874767 0.4796351434483111,0.2226134889968167
7,-0.2336591108178092 -0.7699083016314168 -0.6246799666255614,-0.30443901195860323 -0.9004013791984741 -0.7374879360288019,0.18645073252552555
8,-0.35515071517162333 -0.14021877942376237 -0.6169159887661031,-0.6938952914296296 -0.3139701588978771 -1.637187609491281,1.0889865058257404
9,0.3486618433966737 -0.37530556040317253 0.20829143488544966,0.36764387319629294 -0.4207224344520232 0.25779057799354865,0.06980813041558168
0,0.4833497251469756 0.9091897466229382 -0.21451008473400113,0.4989459312171588 0.7879106599042507 -0.2085296251519133,0.12242395360351471
1,-0.6596920086169953 -0.15710486182790317 0.9120426233588135,-0.6591191174785835 -0.3153845974786237 1.036705135746109,0.2014783981389346
2,0.20474108500020494 0.9078198758589864 -0.05414619750365035,0.14191896930081682 0.6925306258935922 -0.065129730419716,0.2245366726548864
3,0.15689808217903778 -0.2566508667600682 0.1369822154602569,0.1312149250915322 -0.1857971391128084 0.048470183940966936,0.11625082796765507
4,-0.34061654539923025 0.9243184679200338 -0.07576408272836321,-0.22492153216492472 0.7747222122055 0.029654552773187265,0.21651204244129954
5,0.015134342796090383 0.8998724666561146 0.13880872595899318,0.003912418326126273 0.7429685350033702 0.10412825561602265,0.1610823093331739
6,-0.009049349963646591 0.5685446704304429 0.07449062274473639,-0.010002825964370545 0.4965956334075012 0.05616922379813961,0.0742512404231266
7,-0.630533864971611 -0.9367623120990243 0.4049114758181418,-0.7149191168495079 -1.018981506282853 0.44173425317597187,0.12343736694809455
8,0.8211101854347589 -0.15180026960360804 0.6223159317136948,0.4854184267708578 -0.05593425133213809 0.4472412202074512,0.3905514113443748
9,0.13422131737747933 -0.9994571215606669 -0.6641065472262091,0.16130326657371072 -1.0012501330333705 -0.6438390852578265,0.03387354243430024
10,0.3270684165198672 0.40530285290193957 0.8328528516693943,0.3347579181516947 0.28214603393596965 0.8350193353108283,0.12341565599441251
11,0.9483010693778013 0.26109847508276895 -0.6262314443789425,0.7045701159305876 0.19312125854687087 -0.5043242323024878,0.28086838197367453
12,0.9421973623915547 -0.15721170493156178 0.11124711861779102,-2.024651935100954 0.5011168897528907 -0.21183939251393244,3.0561374619421597
13,-0.2332627846886135 0.3114746225806879 -0.47518458949006215,-0.25531815977167244 0.4151811990445937 -0.4167685296721431,0.12105341637710623
0,0.7659197142382532 -0.3569274698310385 -0.10475945604225356,0.688278871532887 -0.33925774498321754 -0.12017308651089768,0.08110425165440485
1,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-0.6800809046738137 1.092545414561479 0.8971982963512887,0.20181707616652092
