,original position,computed position,offset
0,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.6049077635204985 -0.40636195515616585 0.3459910636079044,0.13769923052553878
1,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,-0.7385567174525676 -0.4953303751664784 -0.15806713080489893,0.2877833376320937
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.5588108984360831 0.6522265068881885 0.9855310696300565,0.5830600051396353
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.22389180800601585 0.6262702563025793 0.24148804858767323,0.21137218757414297
2,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-1.0219188455204478 -0.19464483862657658 1.024215059194084,0.4231086914545508
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.70071157603398 0.12985596525180948 -0.23427060489859022,0.06660082654656257
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.1872556560674216 0.15420599972967303 0.17992492420401973,0.21995543151128202
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.2397050664068554 -0.43515496276102467 -0.7282476199560092,0.4054779384228631
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.4214824348661446 1.1594323201564993 0.3103711136849815,0.7331899322863292
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.3918888161820032 -0.7814938628461338 -0.04182783112899093,0.17862510554558303
8,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.3932539369370985 0.35457924647314304 -1.1318924383947235,0.5367900165819228
9,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5550050373889677 0.4521164050070447 -0.017225267093004405,0.09150212373339466
10,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.28168468113406747 -0.9240958892533296 0.895447526523329,0.10531517098999697
11,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5306150183919434 0.9936516061612268 0.9990815187983554,0.2982420537613615
12,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-1.1717759441403879 1.0208874340574678 -1.0471699284707041,0.3594832290567323
13,-0.6162954966159528 0.7727801919585868 0.07428498656102334,5.246303141245339 -9.61668376360247 -1.8920038611802272,12.090381131515544
14,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.5594994831342485 -0.4485501427171469 0.6169966675110476,0.30140622440216563
0,0.2873539117652848 0.17775149387141687 0.73788310182956,0.265242732675529 0.1615319746904141 0.553153397488692,0.18675395767979505
1,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.9515170880713093 0.4185638475115561 -0.5224488435723981,0.042710035136973974
0,0.23906275587545278 0.5912753088472846 -0.9346377744488021,0.18453669052192664 0.4276444412219105 -0.707068574553706,0.2855449060719941
1,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.3567412267550102 0.11642798223239266 0.40177422243338157,0.18574391335894247
2,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,-0.07885160155664248 0.6349834910679805 -0.31091223804826057,0.3718024162344951
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,0.6612470298848404 0.001291832519094967 0.173839586927517,0.14991965243795582
4,-0.48557222210726536 0.04656211699465551 0.054762287781279895,-0.6007172862252916 0.0395528602568824 0.06205489421884541,0.11558848376639268
5,0.22810105003051162 0.022032056398898936 -0.07375328130959202,0.020082981716501497 0.002080860291896581 -0.00656359161181473,0.21950859065848846
6,0.34758265417485346 0.7503757077579636 0.5648865553917617,0.2780266239056327 0.5019429385200925 0.4382495191662562,0.287391407529853
7,-0.2336591108178092 -0.7699083016314168 -0.6246799666255614,-0.29493609270160603 -0.8722957775202783 -0.7144676001526489,0.14933145302337997
8,-0.35515071517162333 -0.14021877942376237 -0.6169159887661031,-0.46238603290479363 -0.20921804487846107 -1.0909609752703258,0.4908960798706898
9,0.3486618433966737 -0.37530556040317253 0.20829143488544966,0.3797758574537421 -0.4346059731797375 0.26629748226138233,0.08859640149799192
0,0.4833497251469756 0.9091897466229382 -0.21451008473400113,0.5268772767039535 0.8320184549128757 -0.22020326079043073,0.08878326566619646
1,-0.6596920086169953 -0.15710486182790317 0.9120426233588135,-0.7100929113006976 -0.3397752561930073 1.1168800122479516,0.27904673417862236
2,0.20474108500020494 0.9078198758589864 -0.05414619750365035,0.16091640249218694 0.7852335560459712 -0.07384806954320468,0.1316668992727116
3,0.15689808217903778 -0.2566508667600682 0.1369822154602569,0.174091082603138 -0.24650873420192987 0.06430843740047007,0.07536537755423982
4,-0.34061654539923025 0.9243184679200338 -0.07576408272836321,-0.21674537454046083 0.7465601644851381 0.02857657550963752,0.2404767231386734
5,0.015134342796090383 0.8998724666561146 0.13880872595899318,0.003374175670693191 0.6407562141702392 0.08980303164032506,0.26397176346873913
