,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.4854768524465549 -0.15031185690360616 0.13204361718850371,0.427813262547215
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,7.119406485382983 -2.337781311057428 6.705743145208549,9.230200330438375
2,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.2199324111821031 0.32098222327819986 0.17050957856941237,0.7063053423180639
3,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.0789537336119744 0.0738062850411868 0.002288607405517893,0.693653441208194
4,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.7390993726211388 -0.6253216272803872 -0.38631321617084385,0.20415624955291323
5,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.44071739362093215 0.633837818996024 0.3435796109074168,0.4560967488304245
6,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.8426647654434027 -0.5660811817555543 0.48198171034184184,0.2132913157107519
7,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.21985715762335012 0.17638547166436055 -0.01948802600378776,0.8835164320937661
8,0.5155266537655077 0.9574464194595751 0.5963290434478494,0.19753298601930924 0.38029071485076427 0.19913092664321913,0.769412128889529
9,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-4.4415780881266285 1.2774296674455565 -4.624978660674635,7.416204381479008
10,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.40279592764250627 -0.4139411315621805 0.21113706487909556,0.41580762759457723
11,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.2815743274474345 0.06765431543509068 -0.48796838676236665,0.9061046945535328
12,-0.20644321961593937 0.19178134687800852 0.301841616627041,0.0443062223176228 -0.0371466254753854 -0.05956610743339811,0.4958818832810649
13,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.2191574962825946 0.48696286701501446 -0.4320058312068232,0.20046252279766721
14,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.31742636867839674 -0.4179931172175601 -0.40126646941955485,0.15808344190994603
15,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.2836776128127042 0.5381528165792997 -0.5744703232031094,0.3021937574719461
16,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.33431940316800907 -0.4604871812349162 -0.6251336372432024,0.1825045100127735
17,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,5.660752694240777 3.796516488854515 1.2115236588207008,8.07649690660608
18,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.28251662929306726 -0.013238072146792703 0.074480530942212,0.20676391550979822
19,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-3.7131275557216967 -1.0683153506385847 3.07958397184214,3.666839488824946
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-0.2965644103145942 -0.18193447875360932 0.19378380847545898,1.7775234132063922
1,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.6407334458347662 -0.12204047191598932 0.6421731500793166,0.20003407651443897
2,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9561455926585898 0.8330236045173824 -0.8544695911182809,0.1118275585418744
