,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.48863631883447656 -0.0912725298093662 0.2565194476649628,0.44126452384981135
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,0.7872766103308082 -0.12565878105228412 0.25731601003514887,0.3264012109039766
2,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.3252707872280577 0.4138527056591747 0.6294993957429358,0.4181538516888231
3,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.18289760836609376 -0.33347624685909594 0.002500777959488776,0.9558073470950732
4,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.5769881094013183 -0.39764795609356607 -0.2048181002898703,0.5002545096463726
5,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.5387064960813368 0.6195267155128806 0.6118138239363853,0.4215543701196908
6,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.8309597136463869 -0.3630021226838829 0.17725828750809325,0.2653078381807828
7,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.42620776502555424 0.1760818542762253 0.10555871262351027,0.7290882376310363
8,0.5155266537655077 0.9574464194595751 0.5963290434478494,0.24841505636383523 0.5413870834713093 0.7636535431735617,0.5219688350255499
9,0.6085875274862944 -0.17020497734407258 0.6095479289945955,0.7689341083853676 0.03563555282412531 0.0923306200109475,0.579305700453771
10,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.3922234077930191 -0.312676055408954 0.3678151170256465,0.4751086798634195
11,0.15480697464233661 -0.06429261157976174 0.2950942449151539,0.17555312379664745 -0.047994729247247334 0.41126968493131405,0.11913335610233526
12,-0.20644321961593937 0.19178134687800852 0.301841616627041,-0.25999043943666583 0.2085652918250127 0.3449825775521284,0.070782399422831
13,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.12127582343532725 0.34715484602223723 -0.38416959610138196,0.3730796352926481
14,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.1604891586838207 -0.36417644065992794 -0.5003113580643787,0.28013585683479714
15,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.2084799555391752 0.4223501145454837 -0.4094903070312285,0.4791266512002998
16,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.11265846647674368 -0.2814124064811484 -0.5286405388303396,0.43494477568692796
17,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,-0.9350976722227229 -0.665659334054239 -0.8354551739970255,0.5256454500736992
18,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,0.11867084283205075 -0.06982757286840635 0.22171290397300666,0.5938263500448562
19,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-0.45563992387371505 0.05311110385690213 0.3751106001594127,0.7249528478831874
0,0.998456615445664 0.694735214478744 -0.6511778926114262,0.7947494830570889 0.6561399204921201 -0.8843446546815532,0.312014312873877
1,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.49659399943185123 -0.26124367723499964 0.4467906526651715,0.37554937464371074
2,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.760259312963014 0.9685509050626216 -0.8665229694237269,0.1822415663580813
3,0.524791672853085 -0.20519735085596813 -0.3824335625669195,0.3629249453928052 0.09284199332907957 0.9958893658901233,1.4194373474202207
4,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.09084052417719901 -0.09289016309375855 0.6830095235468154,1.2701156469828208
5,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.04551504854482375 0.03485313875438243 0.08819124525451252,0.04034462343485284
6,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.0399560020795682 -0.3785304750520464 -0.6935656195372344,0.2071432122347575
7,-0.8142563129777287 0.798089848543561 0.1147297788115973,-0.9061624453215487 0.7454011765881585 -0.03513188712655868,0.18352480004779523
8,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.329446394096753 -0.706272712739738 -0.14968105784336272,0.06647004647433465
