,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.4799591457311072 -0.14860348144127708 0.13054287014027396,0.433658044529569
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,8.109080249885954 -2.6627579555922063 7.637913274268334,10.628046154011267
2,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.22188316581972545 0.32382926868314404 0.172021962984995,0.7026630185025168
3,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.16237389494703908 0.15178780566105252 0.004706681767133281,0.581715637612932
4,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.86705414687445 -0.733578907178512 -0.45319274847366586,0.12322874606077129
5,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.46347421316495996 0.6665665768709154 0.361320637963754,0.4127863939842117
6,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.8220885036967912 -0.5522585620812827 0.47021263889638404,0.18774876063008347
7,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.640668793692178 0.5139913049800566 -0.056788554196984156,0.35567481018548347
8,0.5155266537655077 0.9574464194595751 0.5963290434478494,0.17285015088161412 0.3327712943822251 0.1742484200188796,0.8281293680297335
9,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-5.560978834611264 1.5993773389596022 -5.790601433147006,9.064043387375301
10,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.4757013645418991 -0.4888638330497542 0.2493525454842712,0.3045080417473421
11,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.5959854094408414 0.143198370570732 -1.032842878167037,1.5395319790543114
12,-0.20644321961593937 0.19178134687800852 0.301841616627041,0.21050551084307023 -0.1764891918732141 -0.28300751493347887,0.8071666124354933
13,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.24103324503914508 0.535570272708561 -0.475127564139286,0.1343007262914768
14,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.36392318142039604 -0.479221010097501 -0.46004423248292325,0.06147795467659698
15,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.3081941803243291 0.5846621612132328 -0.6241183737580642,0.24895096804717368
16,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.3811665023623328 -0.5250137640554338 -0.7127315966680204,0.0930784144905453
17,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,6.039081797001594 4.050251770084217 1.2924942794382495,8.53910515747593
18,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.5791897359364797 -0.02713948389584967 0.15269316767927027,0.12291485808253091
19,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-0.7210192455314511 -0.20744666498735093 0.5979970465886126,0.31688737671178024
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-0.3255424456785451 -0.19971174256504062 0.21271889933483104,1.8164048392243695
1,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.7176006798906363 -0.13668137068604413 0.7192131019538937,0.1425020294013431
2,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-1.0027540800497816 0.8736303598753784 -0.8961217573464983,0.13261243417503535
3,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.863193036661904 0.2955589462928799 0.6631139409686917,1.8084324718194986
4,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.06307897570694215 -0.011689804418363398 0.021089347315895058,0.8514056648127116
5,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.11881411101988903 0.09784403396187698 0.11416274610110833,0.10956713363653904
6,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.085994630335795 -0.38120030782172526 -0.6379525471484153,0.221425120777734
7,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.066941135949549 0.8702506667561352 0.2329594094718192,0.28815802784489775
8,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.3533146943832839 -0.7045704136288995 -0.03771066374395226,0.15669044624810355
9,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.7116978855808045 0.8449192568935556 -0.7457139465552906,0.06085292343206875
10,0.942619589081253 0.47040988797254535 0.32417697153162406,0.9038335837669749 0.49000528945026245 0.34596265536485094,0.04861018398847561
11,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.27622014173561277 0.2490551791551022 -0.7950371513073189,0.17631959816275022
12,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5893403437973386 0.4800865210463492 -0.018290905751685325,0.13577539003749492
13,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.3665346048197916 -0.24367616200459932 0.17948748396438993,0.5546135942445122
14,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5215861336524393 0.9767437435635162 0.9820812614254368,0.2744736721152399
15,-0.6162954966159528 0.7727801919585868 0.07428498656102334,3.3876365449177435 -6.209673456033589 -1.2217024542234478,8.152650745999765
16,0.3476189086939534 0.35288727366640305 0.531931095515876,0.5100065198932483 0.5952635710776536 0.8994586048256648,0.4692467111416522
17,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.17425162177287506 0.48741670720666264 0.18794651077201652,0.09297149780876739
18,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.31566752049087293 -1.035580127687417 1.003475585854706,0.06307943527776877
19,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.6585098674215367 -0.527926662877196 0.7261818928700263,0.299768742445886
0,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,0.1402372964173298 -0.3265909751529116 -0.13115843013466358,0.6808601493359705
1,0.25609313514118703 0.7978578490565134 -0.16422872881286077,0.24135851664774466 0.7764231887549659 -0.22965251189323496,0.07040472311527038
2,0.9677163376000693 0.4348643927055915 -0.5584491719387301,1.0204445763245116 0.4488844324429807 -0.5602948128983181,0.054591529230929775
3,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,-20.374746484275498 1.4615013089244575 1.8700387201160207,21.1231208406013
4,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,-0.02767568892188864 0.03429566240701016 -0.0257984062358549,0.911209111439968
5,-0.5152301896980707 0.7010663648362798 0.6557070663883529,-0.6658651583947048 0.8757230361787972 0.8543302450576631,0.3043797196650671
6,0.9357128184894121 -0.77672857139621 0.6911347922515148,1.3422933220167563 -1.018014663635018 0.929714298355112,0.5295723415068613
7,0.5113308204450631 -0.30465526504531293 0.16056298491899157,-0.9980535372010502 0.5664104013219843 -0.24183265054883396,1.7885521467584413
8,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,-0.21210270441874027 -0.8621976394127246 -0.7307756032538827,0.10976130430059675
9,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.4318942935934688 0.9770744008520875 -0.799269539967718,0.11923961381676115
