,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.7334637050831719 -0.2270927870749255 0.1994929319649196,0.17398248007124018
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,7.416099423775013 -2.4352056129173727 6.985197147721105,9.649258259672244
2,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.7235264563968188 1.0559568247653845 0.5609368373717941,0.3414781461595261
3,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.3607677039708514 0.33724717976970775 0.01045746161970174,0.32200055416923146
4,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.9758433166611271 -0.8256209561931558 -0.5100547830276987,0.20949142884237898
5,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.7183685515838231 1.0331544943807205 0.560034142091486,0.09517030233673862
6,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.9063743874082414 -0.608879717507881 0.5184219103111468,0.29455043749693954
7,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.7514138800853083 0.6028391028371868 -0.06660494201328797,0.22712349101743312
8,0.5155266537655077 0.9574464194595751 0.5963290434478494,0.5888522389688606 1.1336589569756768 0.5936157518033027,0.19087918109324042
9,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-3.635720449087488 1.0456592391380757 -3.7858457421155745,6.229924679878957
10,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.7580502682157351 -0.7790252191544809 0.3973538401905915,0.1266413725598107
11,0.15480697464233661 -0.06429261157976174 0.2950942449151539,0.30051294942676954 -0.07220472852463297 0.5207890238514624,0.2687581922873055
12,-0.20644321961593937 0.19178134687800852 0.301841616627041,-0.3100495817719574 0.2599475895353367 0.4168364110375246,0.16912929272817026
13,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.26281296184429004 0.5839642976363353 -0.5180599977610106,0.0729724927909382
14,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.4213064891436529 -0.5547844479157376 -0.5325838812512211,0.058529033891313635
15,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.3374192176743436 0.6401037450893968 -0.6833014600990034,0.20164399947324396
