,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.5568176514006189 -0.1724001766859643 0.15144742006713727,0.35261518293533634
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,6.328649106936445 -2.078122331800025 5.960931638669643,8.113313011474766
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,4.850598527755558 3.2531676061688986 1.0381331234970852,7.085897867723076
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.30607028798032193 -0.014341741809718481 0.08069003800396649,0.18347330966733705
4,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-3.3359319611680642 -0.9597912458757543 2.766746481127103,3.1649502930674194
5,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.3131924079132696 0.4570913166709951 0.24281234947319444,0.5341319048204571
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.14868326012542876 0.1389897421647201 0.004309835578795123,0.6000275296746053
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.7791489389890256 -0.6592059207066223 -0.4072463644902063,0.16243344728471823
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.4807716526682272 0.6914436783596684 0.37480557779197154,0.3799155357251822
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.8346281537285608 -0.5606823863586039 0.477384983365089,0.2032561258877436
10,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.31027623612851046 0.24892626124789563 -0.027502726876823824,0.7685831802143984
11,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-3.679607226794725 1.0582813907111122 -3.8315446820766534,6.294529099722419
12,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.5097081536659444 -0.5238115765713752 0.26717818161628737,0.25259422504605356
13,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.18645042361692712 0.044798742437698755 -0.3231186353112987,0.7145241078269724
14,-0.20644321961593937 0.19178134687800852 0.301841616627041,-0.006480012362473402 0.00543288458625651 0.008711848863704874,0.40079432930442077
15,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.22332964960344828 0.4962332947996491 -0.4402300288449163,0.18771123110232038
16,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.3242821667886384 -0.42702096337616813 -0.40993305220599346,0.14382486222283952
17,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.28784572305792694 0.5460599624624 -0.5829110867021319,0.29256500919656375
18,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.3339710440473142 -0.46000735593005443 -0.624482251167123,0.18329285436551285
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.46856601249768576 0.5468955140874882 0.8263732235386134,0.3727781726769346
