,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.5334663392110917 -0.16517021488932015 0.14509615591918776,0.37714174527437994
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,6.70409978971014 -2.2014081128850305 6.3145672749467225,8.643609422130702
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,5.2167935293763374 3.498764868031945 1.116506783709592,7.533649290330928
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.3013170118913564 -0.014119014347774727 0.07943692052303468,0.18815119997587318
4,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-3.5194498651440123 -1.0125917465298229 2.9189520779317486,3.40913463744824
5,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.29148871014255456 0.42541567083799414 0.22598586928143055,0.573763895926295
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.11893293360775774 0.11117901075811074 0.003447472084757761,0.6399065525661448
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.7801913600826696 -0.6600878703858342 -0.4077912182138157,0.16146739006609565
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.46831509577505676 0.6735287129699473 0.36509454974418193,0.4035822659524912
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.8472449658189005 -0.5691580461832189 0.4846014624677411,0.21903945929530316
10,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.2724918610330321 0.21861287552598707 -0.02415353919352345,0.8165680059436274
11,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-4.022678964936952 1.1569512795815877 -4.188782455792705,6.799554951297349
12,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.48410341984491156 -0.4974983698980606 0.2537567243100421,0.29168153387805035
13,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.2283445101804526 0.05486470183438015 -0.39572109882638196,0.7988925865288277
14,-0.20644321961593937 0.19178134687800852 0.301841616627041,0.015253850049411264 -0.012788927270330435 -0.02050755905801466,0.4414833845437049
15,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.2221417029758116 0.4935937049819737 -0.43788833449721404,0.19133747021360464
16,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.32716027497550176 -0.43081091131819077 -0.4135713394584311,0.13783968142954223
17,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.28560381099993154 0.5418069257966907 -0.5783710317722426,0.2977196580472607
18,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.34074170475908183 -0.4693331756004524 -0.6371425027623914,0.1681353071186596
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4754678182393824 0.5549510846977356 0.8385453984443453,0.38882831450496563
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.1698771435886678 0.47518041505282055 0.18322823094882096,0.08847686885169752
2,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.618565645625629 0.21179805984196548 0.47518861436241333,1.488847516914671
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.0004067914526062151 7.538664771796505e-05 -0.00013600357540690568,0.7836146468408794
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.11114535495090445 0.09152877373884277 0.1067942084375284,0.097198319465588
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.080459374584548 -0.3792573505203665 -0.6347009376035926,0.21486804016628677
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.067854398327352 0.870995569325197 0.23315881415972312,0.28922771206987125
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.34160651346579546 -0.6812222823368342 -0.03646100365154244,0.15892149124794333
8,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.6296981841411137 0.7475701875628575 -0.6597950163240376,0.18173777257483775
9,0.942619589081253 0.47040988797254535 0.32417697153162406,0.9176700310060084 0.49750659550493304 0.3512588670940954,0.0457180607036471
10,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.26783758363290977 0.24149700654347198 -0.7709098553296782,0.15261897996120136
11,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5708382167705738 0.4650143782858466 -0.017716669378401086,0.11191553251638692
12,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.355183755020513 -0.23612999452625508 0.17392911254586627,0.5688479807123894
13,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.30666052796321014 -1.0060317520503792 0.9748432543134989,0.030737197920432904
14,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5389267347496024 1.0092164696167953 1.0147314380705181,0.32037499254010804
15,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9783902070894719 0.8524038004170349 -0.8743487253665382,0.11637892558917608
16,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.8564241781904967 -5.235939913652331 -1.0301283453899155,7.0273912695360625
17,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.6410060073451375 -0.5138938368030994 0.7068792417304421,0.29318377178897315
0,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,0.09484299850585506 -0.22087467570877697 -0.08870292790210262,0.8028565210453404
1,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,-7.687195300639133 0.5514103452778016 0.7055475695063724,8.349783787527311
2,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,0.3827940452417737 -0.47435767124274053 0.35682856212489716,1.6679288761056206
3,-0.5152301896980707 0.7010663648362798 0.6557070663883529,-0.6277793059717033 0.8256338283281617 0.8054646523418396,0.22497042269016826
4,0.9357128184894121 -0.77672857139621 0.6911347922515148,1.323465046375477 -1.0037350271506573 0.9166732463063928,0.5027437870747553
5,0.25609313514118703 0.7978578490565134 -0.16422872881286077,0.2224344683841676 0.7155466549535778 -0.21164628912023845,0.10077928134301718
6,0.5113308204450631 -0.30465526504531293 0.16056298491899157,-0.8332704904956258 0.47289354261996713 -0.20190501193533777,1.5949664204705716
