,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.5523365359062202 -0.17101274742426384 0.15022861283474714,0.3573139426428336
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,6.5157872944183275 -2.139572420115466 6.13719641867481,8.377631808526086
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,5.022580087802303 3.368511070857027 1.0749409015668652,7.296180643242931
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.3063985506701168 -0.0143571234358602 0.08077657867764511,0.1831507229432669
4,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-3.432730308742205 -0.9876413962080675 2.8470288401941315,3.2937474844677492
5,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.30513750629917435 0.4453355221772099 0.23656753147544934,0.5488008143213617
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.13722867179834874 0.12828194441505547 0.003977804977160112,0.6153686482657308
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.7870631338422195 -0.6659017959671607 -0.41138296395219404,0.15529703186297525
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.47743575215324274 0.6866460008969447 0.3722049375232781,0.38625093689216594
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.845436604353787 -0.5679432340334858 0.48356712807093855,0.21676761692742413
10,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.2959587341539952 0.2374397153190308 -0.026233630824619596,0.7867576425457791
11,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-3.8377360213541802 1.103760364499199 -3.99620289273172,6.527305832043098
12,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.5068387168693721 -0.5208627435941624 0.2656740838300207,0.25697454982467943
13,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.20337728568364075 0.048865786745214676 -0.352452891919566,0.7486107679425837
14,-0.20644321961593937 0.19178134687800852 0.301841616627041,0.0020250994400066134 -0.001697856565361411 -0.002722581265042076,0.41671644178354733
15,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.2240013242787409 0.4977257403291423 -0.44155404185529584,0.1856626245516224
16,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.3276581689589745 -0.43146654764437914 -0.4142007394724411,0.1368043300584347
17,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.28830755287519866 0.546936080300818 -0.5838463297823395,0.2915104714671416
18,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.3394463579353883 -0.4675489817968265 -0.634720373314583,0.1710065612167585
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.47527676294090027 0.5547280909617504 0.8382084491593573,0.38838390882249824
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.17266212831572147 0.482970575462637 0.1862320948823535,0.09112164485457588
2,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.5895687690297655 0.2018694738496588 0.45291290974178267,1.450967374894369
