,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.5012761825037694 -0.15520359711071377 0.13634083687961002,0.41109695837379373
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,6.902310927264721 -2.2664941975144015 6.501261626461772,8.923568334353762
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,5.4424295426662415 3.6500929495088217 1.1647977766478315,7.809542363655022
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.28608757185259653 -0.013405398209521786 0.0754219470226155,0.20321636713676963
4,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-3.6058167522972275 -1.0374406292972551 2.9905828197749935,3.524052975959407
5,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.279311316465151 0.4076432703295921 0.21654495853595296,0.5961376681740518
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.09892259014857499 0.09247325682405615 0.0028674384608545515,0.6667876992949094
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.7395602685026267 -0.6257115723585392 -0.3865541177016706,0.20363561465701857
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.4587721360122123 0.6598040701707327 0.35765493776226104,0.42172985739538926
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.83863378672131 -0.5633732707425276 0.47967609831378516,0.20824939783738017
10,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.24787471906883665 0.19886320604366872 -0.02197148832047867,0.8478659575164565
11,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-4.229455363544581 1.216421652694029 -4.404097015644292,7.103944542118012
12,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.42243490761392377 -0.43412351433768515 0.22143140080412158,0.3858258156809715
13,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.2508603489931969 0.060274618552044815 -0.4347410536697703,0.8442408041245534
14,-0.20644321961593937 0.19178134687800852 0.301841616627041,0.02818933049953998 -0.023634118362913806 -0.0378982590069136,0.4657031665497142
15,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.21885039772880527 0.48628050116056715 -0.4314004749299788,0.20140274959672333
16,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.3167523369031326 -0.41710553927619565 -0.40041440929656336,0.15948538623003725
17,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.28102359655040965 0.5331179944351072 -0.5690957236184983,0.3084235334450076
18,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.33084596885058504 -0.45570291815332825 -0.6186387685397983,0.1904012396204876
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4538090398523959 0.5296716397006094 0.8003475052208138,0.3384913957967801
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.1633339574046297 0.45687781200089056 0.1761707987131282,0.08556740246480046
2,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.6611465069613591 0.22637782818358734 0.5078996784824046,1.5444739498036264
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.034962193047490556 -0.00647919840456841 0.01168899500729771,0.8213785906546365
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.09598637021337073 0.07904527152891974 0.09222867147490325,0.07274863975223234
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.055060887141351 -0.3703421027271437 -0.6197809469282293,0.1849190686896454
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.0362658935339988 0.8452304015647656 0.22626167693742621,0.25288307554572775
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.335561417017534 -0.66916731781742 -0.035815786786565836,0.16172484619899574
8,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.6184814611471467 0.7342538275611565 -0.6480421827963357,0.20176029406493098
9,0.942619589081253 0.47040988797254535 0.32417697153162406,0.8943895468298393 0.48488528933511604 0.34234773758040893,0.05353364324404175
10,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.2662145120893477 0.24003355651581137 -0.7662382112987491,0.14814528490952986
11,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5601747746513418 0.45632775962265587 -0.017385716276608187,0.09816671365852661
12,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.3326738219874636 -0.22116514805242538 0.16290627543531472,0.5971459408772294
13,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.3016890659307029 -0.9897223538632892 0.9590394720052431,0.028101133409742872
14,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5272125837119068 0.9872800664054872 0.9926751611003678,0.28924807563871
15,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.970472189758471 0.8455053788917509 -0.8672727056858162,0.11350861759244035
16,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.8450578779757776 -5.215105030157364 -1.0260292525021038,7.0033155035109775
17,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.6312186566025821 -0.5060473280846229 0.6960860900404888,0.29075260886070786
0,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,0.07675283581862524 -0.1787454845190421 -0.07178390992647851,0.8515245436210819
1,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,-11.442126790658843 0.8207554039670366 1.050183380466721,12.130102911280215
2,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,0.41684612078358524 -0.5165549401286591 0.3885708352976121,1.7307311904610279
3,-0.5152301896980707 0.7010663648362798 0.6557070663883529,-0.6283198882151008 0.826344783568159 0.8061582398567488,0.22609625761752492
4,0.9357128184894121 -0.77672857139621 0.6911347922515148,1.2485669392635428 -0.9469312197653269 0.864796476930028,0.3962385936813765
5,0.25609313514118703 0.7978578490565134 -0.16422872881286077,0.2214960373821993 0.7125278280188807 -0.21075337247559797,0.10316353101543423
6,0.5113308204450631 -0.30465526504531293 0.16056298491899157,-0.9451268859557787 0.5363737302867466 -0.22900829606459205,1.7263732517885129
7,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,-0.19998798053388822 -0.8129512784845069 -0.6890357080485449,0.08544381428107291
8,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.4127814751938071 0.9338354744215793 -0.7638990944758788,0.1204465940277965
9,-0.8995145382342526 0.5016270419701312 0.2611113540046264,-1.0470113260792049 0.5827038040730069 0.29881825250682054,0.17248348898465593
10,-0.29627595380890814 0.12556689262733722 0.2541057537247253,-0.3815522092606432 0.15611677714966754 0.33843929465108225,0.12376381261651084
11,0.0671163560574306 0.4990436852714737 -0.8009967823673965,0.0063922492401849535 0.5341099446230312 -0.7893981261384354,0.0710745279265404
12,0.3518215619589069 -0.6388701133112387 0.7859289008117565,0.5681847042281007 -0.9265330800812877 1.0061704352645569,0.42198261253476993
13,0.17689420517578291 -0.8858557416733306 0.2420105837194544,0.14913056855971096 -1.1081934010401533 0.33429887494777044,0.2423261912974102
14,0.19847473117104486 0.8859207844181478 0.29582148960177035,0.27430075436166956 0.8374992105406084 0.21919275175262734,0.11817867013144058
15,0.8351815693278382 -0.6902839487677155 -0.5002385547754435,0.9405613517126691 -0.9324413308313583 -0.7920753430662214,0.393590913542561
16,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-0.23204364721578366 -0.2877414369072196 0.9694210964424763,0.09914920862386323
17,0.2873539117652848 0.17775149387141687 0.73788310182956,-0.03177288691302555 -0.01934958636908106 -0.06626111926491075,0.8873210680392251
18,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.9894690802761622 0.43525858907441206 -0.5432871182468808,0.026518391294798185
19,-0.6612428092374805 0.39467150813450713 -0.88674268530274,-0.4900475840017572 0.18820216685467156 -0.5897582720305979,0.40017138298313853
0,0.9934538129293278 0.9010660246133175 -0.7785387784895517,1.2065349838356094 1.0537731780649549 -0.8784022553656742,0.2805276708702401
1,0.7030706459983662 -0.8745611643449909 0.4491601051209686,0.6902228901982885 -0.8881132591826761 0.4931959191637128,0.04783175746295753
2,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.3538433922531785 0.1154822294048862 0.39851058168654524,0.19019362518848482
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,6.04950460893671 0.011818498118018524 1.5903941111339541,5.7170390464663505
4,0.06374102306523044 -0.1404857519151288 0.7630650185871208,-0.006106361023090376 -0.052706995190284 0.3207935791503129,0.456276005656277
5,-0.5810721896754905 -0.5169512858787069 0.8391336236869897,-2.8473778420945637 -2.564140837223238 4.131988360533189,4.4911043950559995
6,-0.9098280004350328 0.307786756484691 0.9392423631931284,-1.1867101455140976 0.29342150516718446 1.187108467812727,0.3718974166733257
7,0.22810105003051162 0.022032056398898936 -0.07375328130959202,1.9542416068181805 0.20248506012724268 -0.6386922021360888,1.8251795781803037
8,0.34758265417485346 0.7503757077579636 0.5648865553917617,0.42240527803245564 0.7626008744183146 0.6658315933579267,0.12624492239611096
9,-0.2336591108178092 -0.7699083016314168 -0.6246799666255614,-0.32719762554594395 -0.9677116983683223 -0.7926195134617467,0.2758248155800098
10,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-0.31045408062979657 -0.14650765189154533 0.15782280647823735,0.7976561132835532
11,-0.48075887971537856 0.060631861166586365 0.7092581180467896,-0.34942963850020003 0.031682134058425716 0.4511980897589518,0.2909990283449606
12,-0.35515071517162333 -0.14021877942376237 -0.6169159887661031,-0.5093080272524869 -0.23044906662354028 -1.2016694765492308,0.611426711119725
13,0.23051414803814652 0.6481242136235081 0.44604612379657005,0.3777718362235223 0.9859869851884902 0.5579015240982156,0.38515933029840255
14,0.8289382726191252 0.4408678701078228 0.9019293641763275,1.098326366429003 0.6244982121273488 1.214160724841865,0.4514182873785472
15,0.3486618433966737 -0.37530556040317253 0.20829143488544966,0.4332137723793329 -0.49575898373876487 0.3037679583927307,0.17542469161719637
16,-0.5560113514484639 -0.27052925614452317 0.9451058728655102,-0.6403141749780156 -0.20176599261150105 0.8849491334374638,0.1243148654239727
0,-0.7489221763563643 -0.3399508697829996 -0.899079063409626,-0.713164940526547 -0.2709625004672819 -0.7348483131875863,0.1816857571014443
1,0.4833497251469756 0.9091897466229382 -0.21451008473400113,0.5360072717949416 0.8464360901855286 -0.2240190539151851,0.08246974663557453
2,-0.6596920086169953 -0.15710486182790317 0.9120426233588135,-0.5395419186622125 -0.25816761542446875 0.8486263911858083,0.16932614323749015
3,0.15689808217903778 -0.2566508667600682 0.1369822154602569,-0.21188287735150363 0.3000209954122053 -0.07826855086801007,0.7015809651433822
4,0.015134342796090383 0.8998724666561146 0.13880872595899318,0.0008181161829782617 0.15536032480752943 0.02177400367846443,0.7537906937099226
5,-0.6525950205732476 -0.11762935205216074 0.6283454126083559,-0.4924254593228142 -0.0006174631591499152 0.5911876863325928,0.20180873894718035
6,-0.6973159141067042 -0.645555975911358 0.6847685426688206,-0.7479231551182235 -0.684347465940056 0.7769027662147137,0.11204725650300042
7,-0.009049349963646591 0.5685446704304429 0.07449062274473639,-0.00047365393747011313 0.0235148025099854 0.0026597257726359916,0.549809764598212
8,-0.8142038040976471 0.4796144734679235 0.8850483594868985,-0.6588259757230254 0.3830055165851774 0.6995809250055083,0.26052587079500283
9,-0.9193286493554131 -0.08871173520593345 -0.06441734041046643,-0.004922774195605384 -0.0008977906208068177 -0.00017312406953679283,0.9208565103878203
10,-0.630533864971611 -0.9367623120990243 0.4049114758181418,1.1706478055766245 1.668536252758068 -0.723319914016699,3.3622525323619006
11,0.8211101854347589 -0.15180026960360804 0.6223159317136948,1.7455359166737 -0.2011362554198826 1.608252942687724,1.3524306864610538
