,original position,computed position,offset
0,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.7807081692939882 -0.5244602850430197 0.4465441942575656,0.138594852400867
1,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,4.309036365522018 2.889956247235809 0.9222270933792959,6.423744947319088
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4545072093107488 0.5304865211360144 0.8015788120815053,0.34011247045584286
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.16847666494843147 0.47126299563145657 0.1817176850430489,0.08745192773776836
2,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.7017887589568229 -0.13366967478472144 0.703365652221278,0.1496343281566257
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.05342630564940779 0.009900970281109815 -0.017862146666429223,0.7270246842688133
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.10752505066371165 0.08854743446366925 0.1033156327397448,0.09135918894373982
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.0605870679257532 -0.37228187457982886 -0.6230272255091112,0.191413004394673
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.0947295835712554 0.8929163174242816 0.23902682981017742,0.3211028987797518
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.34043915584385537 -0.6788943699810267 -0.036336406991823084,0.1593776015384884
8,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.26335655620747334 0.23745666726470485 -0.7580122322350563,0.1403819482685632
9,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5518350905726178 0.4495341132040475 -0.01712688387681031,0.08741597247921588
10,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.3001865619601049 -0.9847932333402051 0.9542631616334943,0.030911313050142355
11,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5206999632576645 0.9750842642695288 0.9804127137341018,0.2721589566371999
12,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9795318810021628 0.8533984620305335 -0.8753689942971882,0.1169001722835261
13,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.5523084181018674 -4.67848354608038 -0.9204533653435157,6.383246156836929
14,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.6181744454939638 -0.4955897978620267 0.6817013854483723,0.28895750870217995
0,0.2873539117652848 0.17775149387141687 0.73788310182956,-0.12640377428605637 -0.07697949369917585 -0.2636101524683795,1.1131361269851623
1,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.8664131057914796 0.3811273676961444 -0.4757208576193272,0.14140009413667562
0,0.23906275587545278 0.5912753088472846 -0.9346377744488021,0.24259608146559278 0.5621909952300326 -0.9295282419395614,0.029740359963786576
1,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.3837462845547892 0.12524149789554484 0.4321882460604457,0.14432458812474946
2,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,-0.20901598375952504 1.683183301753128 -0.8241510129867292,0.8067720683532063
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,5.112898387529824 0.009988715419999007 1.3441635327199064,4.748628173444768
4,-0.48557222210726536 0.04656211699465551 0.054762287781279895,-0.16031649790089436 0.010555674330917716 0.01656090734676266,0.32946486232891453
