,original position,computed position,offset
0,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.8147194094609882 -0.5473081882855106 0.46599771406613616,0.17873790573828777
1,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,4.561083113069166 3.0589973067398644 0.9761705553667537,6.7319117695467625
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4614700018379852 0.5386132736044006 0.8138585446103159,0.35628542633113425
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.17022232556622283 0.47614595822065553 0.18360054167742587,0.08876157970147272
2,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.6762121033598817 -0.1287980902913963 0.6777315268295824,0.16709609723550026
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.07535169520626109 0.013964186477054406 -0.025192515465520066,0.703630851444123
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.10637265163381715 0.08759842791174752 0.1022083481190234,0.08950050316625865
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.0837659077596844 -0.38041799296644835 -0.6366433148514953,0.21878387446637382
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.0918578159351824 0.8905739598041145 0.23839979869280986,0.31766362570699075
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.34279423296405265 -0.6835907997844962 -0.03658777361422144,0.15850009835393683
8,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.2667806989819792 0.24054406156838848 -0.7678678521040752,0.14970087700549842
9,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5588143300450589 0.45521951864614596 -0.017343493197302984,0.0964128193350726
10,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.2990906465059125 -0.9811979687269106 0.9507793556317464,0.03374522554144629
11,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5256885725276412 0.9844261400962728 0.989805639213754,0.28523352226703513
12,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9818848560331761 0.8554484466319621 -0.8774717552449963,0.11805629694432025
13,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.6730925042257523 -4.899885613146868 -0.9640124108586153,6.639071640070056
14,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.618969703328737 -0.49622735522541545 0.6825783682672275,0.2890190959066583
0,0.2873539117652848 0.17775149387141687 0.73788310182956,0.0019153049462783663 0.0011664145780202568 0.003994293934366981,0.8070007873884995
1,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.9134232876175974 0.40180672576972537 -0.5015327063386881,0.08532308407484235
0,0.23906275587545278 0.5912753088472846 -0.9346377744488021,0.24439622100838465 0.56636262996956 -0.93642563506458,0.025539848565922955
1,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.3735792041791936 0.12192331495354897 0.4207377309364176,0.15990642745929243
2,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,-0.22114505644082438 1.780857423299743 -0.8719760039615019,0.9160413407007497
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,5.35332734750885 0.010458424825101637 1.4073714855714232,4.997220611831468
4,-0.48557222210726536 0.04656211699465551 0.054762287781279895,-0.13601075034171622 0.00895531779267306 0.01405009131352953,0.3539279260391072
5,0.22810105003051162 0.022032056398898936 -0.07375328130959202,1.714855953712347 0.17768156694931667 -0.5604553303959122,1.572115071596666
6,0.34758265417485346 0.7503757077579636 0.5648865553917617,0.4182746751851052 0.7551435780560704 0.6593205812602777,0.11805879748425778
7,-0.2336591108178092 -0.7699083016314168 -0.6246799666255614,-0.31973455936592216 -0.9456391162826374 -0.7745406173369,0.2464721418180285
8,-0.35515071517162333 -0.14021877942376237 -0.6169159887661031,-0.502600602098378 -0.22741412552011764 -1.185843870741656,0.5941577504541742
9,0.3486618433966737 -0.37530556040317253 0.20829143488544966,0.4225124882200527 -0.4835127023466324 0.29626425595180594,0.15780342377392859
0,0.4833497251469756 0.9091897466229382 -0.21451008473400113,0.5216732490800985 0.8238005126816027 -0.2180282877887763,0.09366104586473177
1,-0.6596920086169953 -0.15710486182790317 0.9120426233588135,-0.545919031144898 -0.2612190260118624 0.8586567257440311,0.1631995822627215
2,0.20474108500020494 0.9078198758589864 -0.05414619750365035,-0.07897942385213776 -0.3854006980356601 0.03624539136337015,1.3270596893982334
3,0.15689808217903778 -0.2566508667600682 0.1369822154602569,-0.1477712803197667 0.20924053500238068 -0.05458602467131617,0.5887075753790804
4,-0.34061654539923025 0.9243184679200338 -0.07576408272836321,-0.453219876448487 1.5610755534077332 0.059754317937617936,0.6606847455490729
5,0.015134342796090383 0.8998724666561146 0.13880872595899318,0.001414123180058198 0.2685420984729937 0.03763661441373443,0.6395327000013944
6,-0.009049349963646591 0.5685446704304429 0.07449062274473639,-0.004722528980991454 0.23445247162693275 0.02651858466510883,0.3375464932697322
7,-0.630533864971611 -0.9367623120990243 0.4049114758181418,0.9161123180371602 1.305744227223239 -0.5660475165593297,2.8920081879547626
8,0.8211101854347589 -0.15180026960360804 0.6223159317136948,1.5797874910978618 -0.18203723984328288 1.4555403054787648,1.1272836313606673
9,0.13422131737747933 -0.9994571215606669 -0.6641065472262091,-0.11678678553486783 0.7249250869937673 0.4661523524361537,2.077013300191575
10,0.3270684165198672 0.40530285290193957 0.8328528516693943,0.19665022465665996 0.16574389417236002 0.49052384119296455,0.4377060096574415
11,0.9483010693778013 0.26109847508276895 -0.6262314443789425,0.728698255212377 0.19973473323042168 -0.5215949127430058,0.25087787578081455
12,0.9421973623915547 -0.15721170493156178 0.11124711861779102,1.0438442477895449 -0.2583594610856706 0.10921745486088898,0.14341226384479566
13,-0.2332627846886135 0.3114746225806879 -0.47518458949006215,-0.2585380726425199 0.4204172045356761 -0.42202455358385993,0.12382776652157185
0,0.7659197142382532 -0.3569274698310385 -0.10475945604225356,0.671026037542329 -0.33075369554004513 -0.1171607518345652,0.0992152633158571
1,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-12.159409670548994 19.53401012737526 16.041329150810967,26.680502699749393
2,0.8966228869889903 0.14305998979952528 0.44378847768839913,0.728156503937833 0.09906346697110564 0.36700165650112276,0.19029669505111654
3,0.09208729051827058 0.6064053857407274 -0.31013453827118576,0.07252993069544228 0.4902698490449517 -0.25728997373411633,0.12908331111328045
4,0.500458164122882 0.24149497082571103 -0.6438540167082591,0.4649518440040652 0.18486204254682637 -0.6605060263359568,0.06888596924238002
5,-0.39282451393392614 -0.724934693778452 -0.07986774902126847,-0.42543047779465787 -0.6761149558605869 -0.06684518394958888,0.06013404103087125
6,0.050661035915421815 0.9285859124194322 0.004963415732754051,0.09812885284808379 3.0698692623244397 0.056057934196739795,2.1424187798004923
7,-0.5261735358717943 0.4556420493570563 -0.253302322421461,-0.6086654257715698 0.5175902674495708 -0.24671242675871297,0.10337272536273934
8,0.7025500335578911 0.683516623141857 0.5779574039742612,10.92762397466854 8.114011223788001 6.030597811761621,13.765742788823532
9,0.9117377916955973 0.452352634825238 0.25237684863553644,-2.959606472766683 -1.4453796311709894 -0.5621237086556741,4.387722111211677
10,-0.29908986822954486 -0.9177604880502734 -0.09123759805341058,-0.5217130893517825 -1.022333428170753 -0.07034386828318959,0.24684640230716984
11,0.18650401714811826 0.06282834181048846 0.9184887521438521,0.05501719276683126 0.01395553748385261 0.23195506319291587,0.7007180902853913
12,-0.2963612832851945 -0.7948360902941967 0.8689590504113123,-0.4837894160501715 -0.7987380965589075 0.7684812785812012,0.21269770388182271
13,0.9312964395868493 -0.9012707228228227 -0.18194788599919343,0.9804332453635036 -0.9997000862552398 -0.26214923703384535,0.13614338755674824
14,-0.5482015901046664 -0.006120855135355541 0.8134207627933023,-0.6074707848712402 0.033219836585332764 0.8955721247028828,0.10867094246825672
0,0.14967705006789034 0.5085237957945157 -0.8124208150407399,0.174191248210842 0.47652093267312995 -0.8571635339827501,0.06022491226130399
1,0.6937148058788281 -0.7706563256734238 -0.7202851529350485,0.7195227307031296 -0.7505777688524585 -0.704883858958739,0.0361441182475688
2,-0.3109493351489925 0.36761733944177943 -0.5485205411950496,-0.2949091599123291 0.41209584365732854 -0.5484041909880183,0.04728253479083123
3,-0.7558401264587584 -0.9981998895751614 0.5349544813984193,-0.09557904033247244 -0.1579648807186304 0.10112176257021167,1.1533214642443241
4,-0.16101417221925374 -0.2121629933889828 0.0005308591017181286,-0.1377266453532098 -0.18219343135815683 0.016230204907040448,0.0410725335786744
5,0.09138644968356457 0.19874242715853363 -0.35217272765162666,0.0623211138638834 0.17803205106578698 -0.2616182826985703,0.0973335549796162
6,0.9547718865312953 -0.9406325160229088 -0.7969269793945646,-0.0920957342802806 0.09107930756901043 0.07910088212108372,1.7110774139689684
7,-0.3413059030703245 -0.8853408706765031 -0.8584086692480566,-0.2538538487587928 -0.6608213375373828 -0.6446576058434058,0.3220968793250482
8,-0.40012700433713855 0.08363807854010807 -0.30576175911241443,-0.2006951048534038 0.04004711575577133 -0.1481010028407007,0.25793442700873537
9,-0.34732198617950294 -0.1924362262485637 -0.18565930279002463,-0.3128519181415883 -0.18428934315838313 -0.16383464896510963,0.04160375955608953
10,0.6413140448630064 -0.6313083109397872 -0.984349218156618,0.27977120983550785 -0.2324543944362136 -0.389187994768986,0.8025051713816077
11,0.040724319945074416 -0.44067706769589843 0.7113733282742654,0.14248679106827306 -0.7537493783581654 1.2190913635635385,0.6051012110304445
12,0.0017222416974671528 0.5151895807909597 -0.29277336850585445,-0.005152475587321237 0.9438530873613495 -0.4448321365158168,0.45488628527542574
0,0.16194387132888122 0.06667597087972688 -0.24332245803443597,0.4272307318699594 0.17573428534906 -0.6380555807076964,0.4879396196928639
1,-0.695143348441257 -0.8150507181383368 0.6505577301829777,-0.5972789911704195 -0.7028678725916 0.5205906811651134,0.1976204875244697
0,0.9971460229906288 -0.403880090246552 -0.8001524663574673,1.0009348674006353 -0.6090567101549059 -0.9213712799535428,0.23833967665628078
1,-0.145292387683565 0.5568242751923098 -0.8285945275931661,-0.05653260941310972 0.2157757987335166 -0.32151289900268226,0.6175144853260219
2,0.2742511043963227 0.9865848712636673 0.5048056719765586,0.22007897901214485 0.8155175601720491 0.4818238808195647,0.1809055190355984
3,0.6350061308568884 -0.35310074159859584 -0.0002594854417481418,1.0647454780643972 -0.6409978445963017 -0.15984643404115553,0.5413212009667434
4,-0.13980068579716143 0.5353408176680055 0.6953993489084764,-0.07280023397363607 0.2271376740683045 0.25558254322118623,0.5412181268529963
5,0.5528493944680846 -0.08542113820581809 0.4699585632460681,0.476010601557163 -0.14654165854006554 0.38821214565329415,0.12775912840650105
6,0.4003665184668339 -0.3937595567432002 0.7582930923433788,-0.1685999071872332 0.1181631440387774 -0.39304551011222416,1.3825224130558968
7,0.8773619472932634 -0.8374929461213212 -0.5627990789693293,1.0230052806690988 -0.8369940886342043 -0.8052090324631628,0.28279818770370446
8,-0.3734716311141817 -0.07584176140317989 0.11049524692745116,-0.34189219605021276 -0.07179712430958685 0.08861265090463977,0.0386324710169549
9,0.5000964149351179 -0.7787944168805299 0.5546248745883904,0.1497855456510904 -0.21634475456769564 0.14739947290602617,0.77775308135019
10,0.0209820979151627 0.5574779467689499 0.6825227736503292,-0.05356561190636829 -0.30541137318355716 -0.44001220244213524,1.417822313295515
11,0.9885199918450014 0.45602159690166433 -0.1871289115003285,1.1074111132492113 0.4285964344334484 -0.27111253765592974,0.14812321812397405
12,0.5771996755535453 0.001569776968604275 -0.5683832937716153,0.7750524221615556 -0.026870418546403416 -0.7982853605498582,0.30464654005941544
13,0.5452812975474246 0.6802545647898539 -0.8659878272327775,0.2761956620804189 0.28126497622656443 -0.33958486478129407,0.7132319747980198
14,0.1887245186672395 0.25973479447049597 0.5901171817363047,0.07607107561880377 0.10647049540280665 0.2651874697213469,0.37651037349520755
15,-0.8877551420392962 -0.8329796687280608 -0.9133759232640786,-0.803290199133777 -0.7051597450476057 -0.8269108025165796,0.17592179107657352
0,-0.1351984078270565 0.9547855864197363 -0.7315130609574096,-0.06681655108251457 0.49440843379695726 -0.33970765496560584,0.6083869468958805
1,-0.5828450878101454 0.6831445127329765 0.8371164127827591,-0.5966626935765948 0.6122850773733483 0.7789406642503423,0.092716792038494
2,0.5370085278439929 -0.05390091206208658 0.32497760807988296,0.13836980514306602 -0.011497128731022235 0.08027120031915147,0.46967237312468757
3,-0.22688336804251974 0.9878633376967645 0.7409966351172579,-0.2939985653009901 1.418793112351624 1.0532120578293447,0.5363612500604592
4,0.9747311917480979 0.6599900636995266 0.43199067907500077,0.4683674145240394 0.3057588972085347 0.25512484371713096,0.6427795251211895
5,-0.17018065067044907 0.7381146113961963 -0.1788384924292752,0.0733161039103181 -0.32529044204854235 0.07655216122438195,1.1204219576377534
6,0.4357505125397447 -0.45634027838969216 0.9210361933709386,0.2159301611786266 -0.22391688133556786 0.45717664045241535,0.5634778675373833
7,0.17617159269858096 0.738993258340426 0.0005752138746755175,0.38881114787703586 1.94095399857469 -0.08828829741679473,1.223855353025855
8,-0.9424443189864076 0.15689726351843536 0.6238718488385582,-0.6627452329942044 0.12001442067116164 0.4962315002422755,0.3096513868710281
9,-0.3817973704979327 -0.6028648084168498 0.9743929011242363,-0.2117624693806138 -0.30103022730519985 0.5400986461953926,0.5555425112599585
10,0.7826296270532638 -0.9640133630901855 0.7608512235536462,0.599744728343107 -0.7018898806409403 0.6603116746889619,0.3350579160584903
11,-0.9098856102122044 0.4642973463873312 -0.6358292588124561,-0.5313198126641498 0.2840721793574984 -0.42147779582138656,0.4708924756146966
12,0.1549328394285523 -0.9643454176550079 -0.5073044615868547,0.013410862999506525 -0.10429368545959379 -0.06372979733970656,0.9779958765898176
13,-0.6119973636335083 -0.4948308948592568 0.07467745807452308,-0.5029996980531496 -0.44484630060691616 0.07525307251881826,0.11991364433010668
14,-0.15616122842603186 0.5009700165806503 0.7441762424356226,-0.14450679828215485 0.47369285202381733 0.6512687072156992,0.09752783986575511
15,0.4773928836097716 0.7585976586194549 0.9613137603563975,1.742680730309068 2.6383910427022643 3.239573315575325,3.213260509637024
0,0.712801733974052 0.9957340006589772 0.3914181466486857,1.1135114930956191 1.5828150689044822 0.5992391744064672,0.7405552452895383
1,-0.370578738517124 0.9351969539489777 0.617621895288035,0.34727471362891743 -0.7959058275725985 -0.6178930856257856,2.2446664979484603
2,0.30796726235885696 0.9395563200099881 0.48747187585619756,0.28368176588065785 1.4499843733492677 0.6628447495876251,0.5402612588514359
3,0.12919578600087922 -0.09788056900334063 0.1340164449983623,-0.22565896528321241 0.221541590823348 -0.25073499960734746,0.6131770419898496
4,0.46160685740652974 0.6184460834912746 -0.017690723064328173,0.5018448724105946 0.690141603851328 0.05867162370589568,0.11220763563778577
5,0.3809713606787599 0.6814773749532255 0.9162974438174207,0.5812985536421629 0.752823501763348 1.2036114227618875,0.35745010357853313
6,0.41278471485145163 -0.4831151807740308 0.13951742428824065,0.44342967021351837 -0.5989150392727173 0.14398819408760385,0.11986954700864506
7,0.9306980944952425 -0.27079154914914194 -0.6351854798870187,1.9397190156951412 -0.328940881572339 -1.185852533708167,1.1509729659919987
8,-0.238528673158948 -0.7611157358603802 0.749766461247583,0.1335816168217157 0.19901326949626114 -0.25735072104798024,1.4403467616208194
9,0.31158072792921354 -0.5960821394564786 0.5495268928661834,0.34383633580193296 -0.4335164098158161 0.48437372500595555,0.17808137458775034
10,-0.8539333365922599 -0.8233820644911927 0.31561560175516434,-0.761064264228823 -0.7479177067999354 0.31518488460901145,0.11966502998227713
11,-0.43533807621804366 -0.576832882316725 -0.25960340152388617,-0.4452869653049927 -0.5030914342741811 -0.2773563027360645,0.07649801994120486
12,-0.1597779789395135 0.6972313119717573 0.4458492854687932,-0.1752430100479347 0.9657436122563955 0.33842342677493065,0.2896175714756373
13,0.6414910354529841 0.8930049709681305 0.3763056931531148,1.0284361051872213 1.6331764326701435 0.29015135778990075,0.8396444778664391
14,0.05658276007279617 0.8127498914087872 -0.0958368586116305,-0.06878813664479404 -0.5984788774088965 0.14813165157833,1.4376387354432116
15,0.0009723722570436077 0.937886107624371 -0.13964289954037823,0.08398590288590929 2.773184377763655 -0.45113336709099533,1.8633940265061013
0,-0.9489649208904449 -0.6786815119355432 0.4884455417062883,-1.54019541397231 -0.9567765918675684 0.8574645768741822,0.7503768504881184
1,0.39975233088204876 -0.7700514487155012 0.14365751268894345,0.6348387181217362 -1.1732494381823022 0.18203877641535662,0.4683026260664308
2,0.7332768148315147 0.4914874382582395 0.4933093784286531,1.2509851376723535 0.6648977037319067 0.8186461547221768,0.6355604186223244
3,0.28442737302875654 0.19219642468241704 -0.7879726023413269,2.3016858337798016 1.6869660464148006 -7.93849642185878,7.578499773240883
4,0.23799738610208898 -0.8934148387992862 0.12556355420752796,-0.5798250143194877 2.1671458326596347 -0.2994165522460306,3.1963218225319037
5,-0.25659438766520926 -0.8570514658752271 0.41834654133429416,-0.2845562132310843 -0.7930662734267465 0.34272806836784736,0.1029277513376386
6,-0.9668371655344561 -0.5710437866817313 -0.14737038975306693,-0.5899329984261 -0.38898241159194624 -0.07368930964315415,0.42500823174309266
7,0.6328313406498927 0.12824173394982474 -0.42474005472954746,1.4949757914612447 0.312228342500844 -1.0358181268201199,1.0726418490721144
8,0.6648673473459714 -0.4752728367510126 -0.8286338453323832,1.5906286153832765 -1.4716076211284614 -2.38434536934811,2.0663870097137735
9,0.020196012666442664 -0.5675948421035282 0.5532683247760091,0.08011798882132502 -0.831239597156904 0.8567389574444868,0.40644018623367817
10,0.9496646644214637 -0.04117512588487138 0.7999895211022352,-2.1774610096499134 0.41184308117805984 -2.74083957968338,4.74569396383049
11,0.8820083633949931 0.4431903510123749 -0.2841435836066981,1.7219489537700259 0.8804474584109012 -0.5377058359316492,0.9802998465439986
12,0.2258030432701501 -0.806823881477412 0.6015459487531187,0.13917808717478744 -0.4185218170881572 0.3542666990089329,0.46843292324678454
13,-0.6033360071627896 0.3230660171744293 -0.2630945558882152,-1.1653097996373798 0.9887923910347786 -0.5879158252225662,0.9297929905594591
14,0.49664705368356254 -0.3890337853954777 -0.28568690960339693,1.025493667555717 -0.7476498219000417 -0.5067432084082987,0.676128752445574
15,-0.48229794831873285 -0.9358318923303126 0.8521366720121566,-0.5292869120074551 -0.8235730031569481 0.7511650222871894,0.15813062624033097
0,0.8145931295636233 -0.0005678873819017216 -0.718614203355453,0.7853827061232302 -0.013508507964163516 -0.6633125958574406,0.06386686379089974
