,original position,computed position,offset
0,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.8061597739398007 -0.5415580385344635 0.46110183145944633,0.16838597109508355
1,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,4.428852080917787 2.970313465382211 0.9478702510548089,6.570237654465874
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4581596655080083 0.5347495531451748 0.8080203633700291,0.3485949389169057
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.16947411403669765 0.47405306062633323 0.1827935262541953,0.08816036383841606
2,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.6924610953687766 -0.13189303510162254 0.6940170297197448,0.15523571494755828
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.06403585699045 0.011867133788893586 -0.021409263761934545,0.7157039181888476
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.10706056940464344 0.08816493174831991 0.10286933511067908,0.09061003462054136
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.0725680323108777 -0.37648737171953245 -0.6300652775705854,0.20553668894227498
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.0959066492105929 0.8938763911555636 0.2392838341630985,0.3225146296684094
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.34194853320632596 -0.6819043286651802 -0.03649750876054011,0.1587957173028601
8,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.2652005653348677 0.2391193266953355 -0.7633197950884256,0.1453735232770673
9,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5561108639468296 0.45301722985406573 -0.017259587786573813,0.09292764104593046
10,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.30002723687491234 -0.9842705508297872 0.9537566830671966,0.03128712807738545
11,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5234971299362189 0.9803223541586339 0.9856794277106706,0.2794770328357106
12,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9833437645939779 0.8567194928798469 -0.878775524264065,0.11882733904053888
13,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.61118547878779 -4.786407556245861 -0.9416865314709054,6.507948985036041
14,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.6191356159703342 -0.49636036721436333 0.6827613309866746,0.28903273169453225
0,0.2873539117652848 0.17775149387141687 0.73788310182956,-0.1385760447657413 -0.08439236743643524 -0.28899494888889316,1.142197120876796
1,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.890761073810464 0.39183782082502266 -0.48908957994110946,0.11217910462647619
0,0.23906275587545278 0.5912753088472846 -0.9346377744488021,0.2447665428153232 0.5672208119481823 -0.9378445556674022,0.02492860710726386
1,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.3801678285327642 0.12407361377421268 0.42815806598050643,0.1498067938191317
2,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,-0.21531190893427424 1.7338837119926491 -0.848975875741857,0.8634862260968764
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,5.231758811570714 0.010220924797236103 1.3754115324589695,4.871524275380074
4,-0.48557222210726536 0.04656211699465551 0.054762287781279895,-0.1508680469749722 0.009933562619324897 0.0155848698060015,0.3389740490447978
