,original position,computed position,offset
0,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.8264317046120605 -0.5551762161799726 0.47269683366913967,0.19309689223595877
1,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,4.701793372799302 3.1533679408359214 1.0062855979962093,6.90395508027363
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4646420954185102 0.5423156414739938 0.819452917927176,0.36365688653473
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.1700678743430466 0.47571392719644656 0.18343395173016971,0.08863263948479128
2,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.659448542772728 -0.12560513562616396 0.6609302991446863,0.18164397003321503
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.03698779569555673 0.006854583364768516 -0.012366219665597955,0.744567411599712
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.10734852501273105 0.0884020646785366 0.10314601775967012,0.09107447357077111
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.0824122101755977 -0.37994282493031195 -0.6358481039013549,0.21718032804762907
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.0885253409157376 0.8878558261509031 0.23767217522188752,0.31368178661976387
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.3399013175396883 -0.677821827676796 -0.03627900139913336,0.15960163946783723
8,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.2681330173128972 0.2417633856990085 -0.7717601943015634,0.1534379058103369
9,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5628312376401858 0.45849175889408716 -0.017468162887761107,0.10159157539245779
10,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.29841242351121267 -0.9789729876634181 0.9486233523283712,0.035755391301088284
11,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5280057215840023 0.9887653291538041 0.9941685402215829,0.29134087148269605
12,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9849524555214599 0.8581210341568815 -0.8802131478745229,0.11972450597821803
13,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.7352597497176814 -5.0138406638281765 -0.9864321348705504,6.770747692061116
14,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.6194161099859589 -0.4965852389694451 0.6830706500801036,0.28905640226298446
0,0.2873539117652848 0.17775149387141687 0.73788310182956,-0.00297274328407092 -0.0018103911390140012 -0.006199540439274084,0.8186519502855999
1,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.9517529541071433 0.41866760286886245 -0.5225783503770621,0.0424721256009917
0,0.23906275587545278 0.5912753088472846 -0.9346377744488021,0.2381667032311665 0.5519263753614073 -0.9125566893148932,0.04512998778537685
1,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.3702416971727254 0.12083406824667363 0.4169789159135871,0.16502498339165242
2,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,-0.22678989500785066 1.8263147029116316 -0.894233629141563,0.9669072474387731
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,5.474793306797544 0.010695724456072423 1.4393044716328933,5.122811051472087
4,-0.48557222210726536 0.04656211699465551 0.054762287781279895,-0.1167971456269709 0.007690241791466915 0.01206530040526678,0.3732681508592003
5,0.22810105003051162 0.022032056398898936 -0.07375328130959202,1.751591400789906 0.18148784104784615 -0.5724613400461831,1.6109496342107699
6,0.34758265417485346 0.7503757077579636 0.5648865553917617,0.41877304477540894 0.756043323170808 0.660106154347666,0.11902506292227202
7,-0.2336591108178092 -0.7699083016314168 -0.6246799666255614,-0.32187174500929217 -0.9519600042940437 -0.7797178402522523,0.25487454469218324
8,-0.35515071517162333 -0.14021877942376237 -0.6169159887661031,-0.492952569154788 -0.2230486333864128 -1.1630801480499147,0.5693377069498068
9,0.3486618433966737 -0.37530556040317253 0.20829143488544966,0.42354436595567313 -0.484693557365955 0.29698780495473526,0.15949975588632237
0,0.4833497251469756 0.9091897466229382 -0.21451008473400113,0.5314936144005289 0.8393083463686027 -0.22213261447228802,0.08520180240802482
1,-0.6596920086169953 -0.15710486182790317 0.9120426233588135,-0.5450396389679023 -0.26079824205883634 0.8572735609077355,0.16400345475519476
2,0.20474108500020494 0.9078198758589864 -0.05414619750365035,-0.08435458164330895 -0.41163018242196747 0.03871216926929172,1.353937752280144
3,0.15689808217903778 -0.2566508667600682 0.1369822154602569,-0.14997028179602012 0.21235426755153788 -0.05539832560405008,0.5925742834443389
4,-0.34061654539923025 0.9243184679200338 -0.07576408272836321,-0.46233239548387456 1.592462814724643 0.06095574882789583,0.6927654210983377
5,0.015134342796090383 0.8998724666561146 0.13880872595899318,0.0013453797715673186 0.2554877200195076 0.03580702191759092,0.6527106466380402
6,-0.009049349963646591 0.5685446704304429 0.07449062274473639,-0.00474531158107186 0.23558352596676613 0.026646516608259497,0.33640854174791485
7,-0.630533864971611 -0.9367623120990243 0.4049114758181418,0.9614502664818146 1.3703648673894933 -0.5940609299997007,2.9757679957818706
8,0.8211101854347589 -0.15180026960360804 0.6223159317136948,1.6158899890063219 -0.18619729245019193 1.488803412782968,1.1762902049221249
9,0.13422131737747933 -0.9994571215606669 -0.6641065472262091,-0.12453972349004964 0.773049531860344 0.4970980647403983,2.134744308704234
10,0.3270684165198672 0.40530285290193957 0.8328528516693943,0.1966295778679873 0.16572649231501288 0.4904723398936109,0.43776196502754283
11,0.9483010693778013 0.26109847508276895 -0.6262314443789425,0.7437451802151134 0.20385906525655478 -0.532365350956235,0.2322289932864362
12,0.9421973623915547 -0.15721170493156178 0.11124711861779102,-0.0024133307509239268 0.0005973178791285487 -0.00025250686863637935,0.9641707399434981
13,-0.2332627846886135 0.3114746225806879 -0.47518458949006215,-0.26076427311408856 0.4240373018367302 -0.42565849132695216,0.12601397948710769
0,0.7659197142382532 -0.3569274698310385 -0.10475945604225356,0.6678843329960614 -0.32920512613910374 -0.11661221206697149,0.10256681793083539
1,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-12.471598463263293 20.03553933017075 16.453184933024964,27.400654141800572
2,0.8966228869889903 0.14305998979952528 0.44378847768839913,0.7344251398470174 0.09991629572836465 0.3701611417906608,0.18327703649785387
3,0.09208729051827058 0.6064053857407274 -0.31013453827118576,0.07257661217677111 0.4905853949524802 -0.2574555698816626,0.128724553004155
4,0.500458164122882 0.24149497082571103 -0.6438540167082591,0.4647336029380321 0.18477527121823664 -0.6601959952194707,0.06899586115900803
5,-0.39282451393392614 -0.724934693778452 -0.07986774902126847,-0.42228223401717435 -0.671111612626492 -0.066350520437198,0.06282831213543372
6,0.050661035915421815 0.9285859124194322 0.004963415732754051,0.09967886049555386 3.118359799971942 0.056943404924099036,2.1909391468066226
7,-0.5261735358717943 0.4556420493570563 -0.253302322421461,-0.6101524429895965 0.5188547809359495 -0.24731516450420968,0.10528130097169086
8,0.7025500335578911 0.683516623141857 0.5779574039742612,11.207822015429457 8.322064690203737 6.185229934480131,14.14742595729966
9,0.9117377916955973 0.452352634825238 0.25237684863553644,-3.0254649860164644 -1.4775428780304456 -0.5746323418321344,4.46206304353514
10,-0.29908986822954486 -0.9177604880502734 -0.09123759805341058,-0.5220508921628992 -1.0229953764963429 -0.0703894150730553,0.24742806363314748
11,0.18650401714811826 0.06282834181048846 0.9184887521438521,0.07828184404075642 0.019856796646202296 0.33003992330700394,0.5998588305637788
12,-0.2963612832851945 -0.7948360902941967 0.8689590504113123,-0.48710139325297563 -0.8042061830425108 0.7737422297120105,0.21339126301870057
13,0.9312964395868493 -0.9012707228228227 -0.18194788599919343,0.9801156257869077 -0.9993762250238699 -0.26206431158882865,0.1357447757838776
14,-0.5482015901046664 -0.006120855135355541 0.8134207627933023,-0.6082472412593578 0.0332622974821714 0.8967168261676504,0.1099761206187494
0,0.14967705006789034 0.5085237957945157 -0.8124208150407399,0.1746836236228654 0.47786788433099225 -0.859586424067936,0.06156060675079544
1,0.6937148058788281 -0.7706563256734238 -0.7202851529350485,0.7057982321910483 -0.7362609126473039 -0.6914385888363961,0.04648847049514425
2,-0.3109493351489925 0.36761733944177943 -0.5485205411950496,-0.29457180375009623 0.41162443384310077 -0.5477768536300363,0.04696169677048515
3,-0.7558401264587584 -0.9981998895751614 0.5349544813984193,-0.08516649278706971 -0.14075591078897737 0.09010538118602311,1.1759693965485867
4,-0.16101417221925374 -0.2121629933889828 0.0005308591017181286,-0.1421520448996872 -0.1880476270109718 0.016751709959680415,0.03464746376174594
5,0.09138644968356457 0.19874242715853363 -0.35217272765162666,0.06217742381802188 0.1776215732678719 -0.26101508515108623,0.09802537144709506
6,0.9547718865312953 -0.9406325160229088 -0.7969269793945646,-0.12002453453943873 0.11869986794258662 0.10308888497862745,1.7571001686266785
7,-0.3413059030703245 -0.8853408706765031 -0.8584086692480566,-0.2531190576440059 -0.6589085611518436 -0.6427916160891846,0.32486801029930984
8,-0.40012700433713855 0.08363807854010807 -0.30576175911241443,-0.19672255210530665 0.039254424375156145 -0.14516949613424407,0.2629318445400166
9,-0.34732198617950294 -0.1924362262485637 -0.18565930279002463,-0.30913333699145823 -0.1820988663292513 -0.16188729815134825,0.046155629574843905
10,0.6413140448630064 -0.6313083109397872 -0.984349218156618,0.2712132806528109 -0.22534384061274676 -0.3772831125620318,0.8187252184943753
11,0.040724319945074416 -0.44067706769589843 0.7113733282742654,0.14380256531412397 -0.7607097710544584 1.2303488914192091,0.6183701893113553
12,0.0017222416974671528 0.5151895807909597 -0.29277336850585445,-0.005223565351029027 0.956875622222164 -0.45096957684689887,0.4692130046835932
0,0.16194387132888122 0.06667597087972688 -0.24332245803443597,0.37494722393122976 0.1542283303281295 -0.5599718158219913,0.3915388354328264
1,-0.695143348441257 -0.8150507181383368 0.6505577301829777,-0.6040611594856393 -0.710849014211759 0.5265020453269065,0.18585955232717502
0,0.9971460229906288 -0.403880090246552 -0.8001524663574673,0.9702582500352972 -0.5903903610649452 -0.8931331246778174,0.21012957021070006
1,-0.145292387683565 0.5568242751923098 -0.8285945275931661,-0.0435934601421386 0.16638916510983418 -0.2479252221569421,0.7070778523783487
2,0.2742511043963227 0.9865848712636673 0.5048056719765586,0.21388745927617736 0.7925744645093113 0.4682686467815598,0.20644311999018394
3,0.6350061308568884 -0.35310074159859584 -0.0002594854417481418,1.061604012415542 -0.6391066201193963 -0.15937481702847264,0.5376828096980032
4,-0.13980068579716143 0.5353408176680055 0.6953993489084764,-0.0682798401003881 0.21303398656348155 0.23971262496097046,0.5627142393149762
5,0.5528493944680846 -0.08542113820581809 0.4699585632460681,0.4671091624806061 -0.14380131695648557 0.3809525452326147,0.136681029754819
6,0.4003665184668339 -0.3937595567432002 0.7582930923433788,-0.18531663891329292 0.12987905546339276 -0.4320160911658766,1.4262040910679197
7,0.8773619472932634 -0.8374929461213212 -0.5627990789693293,0.9967254518395436 -0.8154926733470126 -0.7845241387045464,0.25277195321929885
8,-0.3734716311141817 -0.07584176140317989 0.11049524692745116,-0.3287006669687547 -0.06902691234149656 0.08519363059678235,0.0518753620439318
9,0.5000964149351179 -0.7787944168805299 0.5546248745883904,0.1356922396972834 -0.19598889977296013 0.1335306722813419,0.8060849836824884
10,0.0209820979151627 0.5574779467689499 0.6825227736503292,-0.05775880904208282 -0.3293194375119641 -0.4744570233131247,1.459867110999325
11,0.9885199918450014 0.45602159690166433 -0.1871289115003285,1.080238319794496 0.4180798681384643 -0.26446018885739425,0.1258250885994789
12,0.5771996755535453 0.001569776968604275 -0.5683832937716153,0.7418301677817443 -0.025718630803129278 -0.7640672372880762,0.2571771022470098
13,0.5452812975474246 0.6802545647898539 -0.8659878272327775,0.2493342957441219 0.2539105945281589 -0.30655859135453656,0.7630955895627897
14,0.1887245186672395 0.25973479447049597 0.5901171817363047,0.07127339913632381 0.09975557796911955 0.24846253614336053,0.3951151883270244
15,-0.8877551420392962 -0.8329796687280608 -0.9133759232640786,-0.7850915145466795 -0.6891842236264832 -0.808176988892449,0.2056301685911627
0,-0.1351984078270565 0.9547855864197363 -0.7315130609574096,-0.06463270614483235 0.4782490939657005 -0.3286045849841521,0.6280141613892103
1,-0.5828450878101454 0.6831445127329765 0.8371164127827591,-0.5890497032436623 0.6044727565676001 0.7690019370419775,0.1042464592984519
2,0.5370085278439929 -0.05390091206208658 0.32497760807988296,0.12912913657482944 -0.010729322807035568 0.0749104963927647,0.4803779181940484
3,-0.22688336804251974 0.9878633376967645 0.7409966351172579,-0.29634984922691476 1.4301400569731724 1.0616352301656753,0.5506754008094673
4,0.9747311917480979 0.6599900636995266 0.43199067907500077,0.4538352448505264 0.2962720284904451 0.24720901225265246,0.6616401295449948
5,-0.17018065067044907 0.7381146113961963 -0.1788384924292752,0.07944487771680639 -0.35248271542911863 0.08295144945055341,1.1490210648071615
6,0.4357505125397447 -0.45634027838969216 0.9210361933709386,0.20438437144656188 -0.2119440415282494 0.43273139698914215,0.5930441686804219
7,0.17617159269858096 0.738993258340426 0.0005752138746755175,0.3954514525077458 1.9741025487001267 -0.08979612761501644,1.2576746778930619
8,-0.9424443189864076 0.15689726351843536 0.6238718488385582,-0.648480703801555 0.1174313025709102 0.48555091233440295,0.3272687742535884
9,-0.3817973704979327 -0.6028648084168498 0.9743929011242363,-0.20637698149208733 -0.29337450508032037 0.5263629982961096,0.5720903377671045
10,0.7826296270532638 -0.9640133630901855 0.7608512235536462,0.5885548988801531 -0.6887942622970439 0.6479918081140948,0.3551729173377518
11,-0.9098856102122044 0.4642973463873312 -0.6358292588124561,-0.5205139028930629 0.27829475817830085 -0.4129058379843063,0.4856975816645639
12,0.1549328394285523 -0.9643454176550079 -0.5073044615868547,0.009923492718903588 -0.07717308187578857 -0.047157455855081847,1.0098701554601124
13,-0.6119973636335083 -0.4948308948592568 0.07467745807452308,-0.4959343695269097 -0.43859781721888397 0.07419603872334624,0.12896902491097706
14,-0.15616122842603186 0.5009700165806503 0.7441762424356226,-0.14091348836225678 0.46191399286704243 0.635074242083422,0.11688076422671928
15,0.4773928836097716 0.7585976586194549 0.9613137603563975,1.7759866818962438 2.6888157262417987 3.301487738644961,3.2997730058570305
0,0.712801733974052 0.9957340006589772 0.3914181466486857,1.1227726493265886 1.5959794571741577 0.6042230902872698,0.7574012830324062
1,-0.370578738517124 0.9351969539489777 0.617621895288035,0.3665257719108143 -0.8400266024870482 -0.6521457833792813,2.303703907277749
2,0.30796726235885696 0.9395563200099881 0.48747187585619756,0.2862552128146565 1.463138048659902 0.6688578106782733,0.5545359294245235
3,0.12919578600087922 -0.09788056900334063 0.1340164449983623,-0.22881154011093874 0.22463664375708622 -0.2542378998674813,0.6188117923760774
4,0.46160685740652974 0.6184460834912746 -0.017690723064328173,0.5022894173022326 0.690752946003785 0.05872359628155891,0.11279406565580366
5,0.3809713606787599 0.6814773749532255 0.9162974438174207,0.5831632104733881 0.7552383666834043 1.2074722998405103,0.3620842785933407
6,0.41278471485145163 -0.4831151807740308 0.13951742428824065,0.44720973962266 -0.6040205623594777 0.14521563871819435,0.1258398318280446
7,0.9306980944952425 -0.27079154914914194 -0.6351854798870187,1.9595459737226624 -0.33230317116155217 -1.1979737988101826,1.1743263303484759
8,-0.238528673158948 -0.7611157358603802 0.749766461247583,0.15192993091623508 0.2263490516538328 -0.29269953606151244,1.4880456927199772
9,0.31158072792921354 -0.5960821394564786 0.5495268928661834,0.34247589364729075 -0.43180113444427326 0.48245722472519764,0.1801141311977204
10,-0.8539333365922599 -0.8233820644911927 0.31561560175516434,-0.7614084377572627 -0.7482559351049953 0.31532741960762506,0.11918420730083445
11,-0.43533807621804366 -0.576832882316725 -0.25960340152388617,-0.4443104823704216 -0.5019881902127675 -0.27674807991006733,0.07730570486881945
12,-0.1597779789395135 0.6972313119717573 0.4458492854687932,-0.17718231781406724 0.9764309092095202 0.3421685529263605,0.29833709191102076
