,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.5081970976768211 -0.157346429680158 0.13822323903555037,0.4037841740931756
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,2.7964828041717102 -0.9182739108531758 2.633997009900925,3.1244900271779152
2,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.24267606899868321 0.35417564762255416 0.18814232077684018,0.6639270644924954
3,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.0438859360581526 0.04102475915738155 0.0012721080266372626,0.7409172311477656
4,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.7247356318798933 -0.6131690561013649 -0.37880556146628613,0.22072592592648407
5,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.4312907768270109 0.6202805001435046 0.3362306989354638,0.47405461230106466
6,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.1094336256148223 -0.745289851459405 0.634566364126088,0.5609149604232323
7,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.270467148425876 0.21698850317414486 -0.023974069703582852,0.8191412230886502
8,0.5155266537655077 0.9574464194595751 0.5963290434478494,0.22597271143841566 0.43504290448624233 0.22780071486599116,0.7018262227510398
9,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-3.1383359423745745 0.90260789288316 -3.2679233541591657,5.497740126197444
10,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.4380850551484254 -0.450206695261243 0.22963487553808706,0.361933710351815
11,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.30855813793966325 0.07413775887693912 -0.5347313377528204,0.9604585845694503
12,-0.20644321961593937 0.19178134687800852 0.301841616627041,0.02888193918945148 -0.024214806001338497 -0.03882941498172941,0.46700002163045407
13,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.2322253834660792 0.5159994088474364 -0.4577654039368326,0.16069775342797166
14,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.2948620319724894 -0.38827996680438615 -0.37274233715394917,0.20502294864881754
15,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.27542968606838036 0.522506023149294 -0.5577675982485829,0.32178290128965065
16,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.30655684081952866 -0.422247390308735 -0.5732212701605927,0.24729750014978666
17,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,6.288892360564895 4.217793080380817 1.3459591496291323,8.84456919884907
18,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.2585587986462542 -0.012115463925900499 0.06816447106544207,0.23068598417378824
19,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-3.5385636953126838 -1.0180910454018006 2.9348046561544514,3.4345671445975503
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-0.34446560605609333 -0.21132060458596913 0.2250838425269803,1.8417958271024544
1,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.6734145806575774 -0.12826524626240993 0.6749277181977161,0.1693754150235423
2,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9571459111952222 0.8338951129565254 -0.8553635363265701,0.11179336621804643
3,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.8509034202649735 0.2913509581391905 0.653672928801266,1.7923765993368546
4,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.018761476935421458 -0.0034768794755583787 0.006272570199752194,0.804079686865701
5,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.0827574683210671 0.06815120250868172 0.0795176579853126,0.05141196996272357
6,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.0786367464914803 -0.3786175808836536 -0.6336302599022513,0.21271099873329316
7,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.018827424463709 0.8310067121555835 0.22245410469203536,0.23353241734512295
8,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.35241754802810293 -0.7027813491246366 -0.037614907793047374,0.15670823621851634
9,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.5850790572977017 0.6945988913716247 -0.6130432894405186,0.26229871795468473
10,0.942619589081253 0.47040988797254535 0.32417697153162406,0.858585016813271 0.46547418378482436 0.3286427475235048,0.0842977678666584
11,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.24171217158500452 0.2179409069150826 -0.6957137706387314,0.08999043193521951
12,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5319963753677944 0.4333731633132859 -0.01651116483794754,0.061854265065356476
13,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.32224198779859986 -0.21422995207260667 0.15779793464819206,0.610288679945746
14,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5632764719276996 1.054814793482458 1.0605789387235518,0.38620586678293956
15,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.122355171894004 -3.890362026870215 -0.7653969036692192,5.472674712965706
16,0.3476189086939534 0.35288727366640305 0.531931095515876,0.44485579260800584 0.5192216910831832 0.7845573634069724,0.31771399282889407
17,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.1615924417797683 0.45200644378759913 0.1742924128374761,0.08562188151788752
18,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.3069861540031561 -1.00710000213674 0.9758783870401615,0.03150640255549072
19,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.6259944905779103 -0.5018591197187853 0.6903250605401747,0.28983360001407343
0,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,0.26515760483840284 -0.6175110540899098 -0.24799148355925354,0.3474635717754485
1,0.25609313514118703 0.7978578490565134 -0.16422872881286077,0.2108918526986916 0.6784153591469749 -0.20066349587637472,0.13280495691505254
2,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.9214589128154951 0.40534152534627355 -0.5059448216276866,0.07594771784853836
3,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,-2.087570052251712 0.14974352521107503 0.19160173755674278,2.7123112801339753
4,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,0.3587021951843942 -0.4445030953129355 0.3343708976921246,1.623497563878506
5,-0.5152301896980707 0.7010663648362798 0.6557070663883529,-0.5463575497335327 0.7185507249626083 0.7009974519139296,0.057670047796579756
6,0.9357128184894121 -0.77672857139621 0.6911347922515148,1.2920949119396992 -0.979943463613828 0.894945310952856,0.45808647271485436
7,0.5113308204450631 -0.30465526504531293 0.16056298491899157,-0.23075076910857095 0.13095453386466346 -0.055911900544135466,0.8873006021056856
8,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,-0.201656856417149 -0.8197352600983364 -0.6947856289827825,0.08626773912100272
9,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.5000073253885929 1.131166503291587 -0.9253204565837618,0.26435353242132903
10,-0.8995145382342526 0.5016270419701312 0.2611113540046264,-1.0249795648123425 0.5704422451186223 0.29253036216845657,0.14650651573431037
11,-0.29627595380890814 0.12556689262733722 0.2541057537247253,-0.3905497606584339 0.15979823591826828 0.34642018134167657,0.13631320210327608
12,0.0671163560574306 0.4990436852714737 -0.8009967823673965,0.006167997059272787 0.5153723586140838 -0.76170454837841,0.07433174079451697
13,0.17689420517578291 -0.8858557416733306 0.2420105837194544,0.15314530919788175 -1.1380270503387349 0.34329852734304844,0.27278861137827604
14,0.19847473117104486 0.8859207844181478 0.29582148960177035,0.2626855915008488 0.802035619677085 0.20991111665307036,0.13616294513601546
15,0.8351815693278382 -0.6902839487677155 -0.5002385547754435,1.0697633892129856 -1.060527945886876 -0.9008803114944592,0.5938207346079283
16,-0.6612428092374805 0.39467150813450713 -0.88674268530274,-0.46100644285204034 0.1770489526143796 -0.5548080880456236,0.44456130730260285
17,0.3518215619589069 -0.6388701133112387 0.7859289008117565,0.5603325114356434 -0.9137285883037921 0.9922653720325202,0.4019934535322178
18,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-0.26003802820710087 -0.3224553517608294 1.0863747120249552,0.17248197264610643
19,0.2873539117652848 0.17775149387141687 0.73788310182956,-0.06391606488788752 -0.038924678808866874 -0.13329446612998377,0.9639966365196518
0,0.9934538129293278 0.9010660246133175 -0.7785387784895517,150.20479761390052 131.18706797793874 -109.3546683340694,225.89210551310464
1,0.7030706459983662 -0.8745611643449909 0.4491601051209686,0.5737350357374627 -0.7382277518349252 0.4099600032471729,0.1919665268611068
2,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.3620450179405677 0.11815895600162424 0.40774753423395405,0.17760187280402812
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,4.343762614414858 0.008486108136481678 1.1419603634856066,3.9533830048374043
4,0.06374102306523044 -0.1404857519151288 0.7630650185871208,-0.0008402937365450387 -0.007252987133094646 0.04414426763575971,0.734008693572348
5,-0.5810721896754905 -0.5169512858787069 0.8391336236869897,-1.7250566775157066 -1.5534602425959882 2.503325694039811,2.269930962121844
6,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.5429602451898702 0.13425031629820394 0.5431424911862879,0.567099598408479
7,0.22810105003051162 0.022032056398898936 -0.07375328130959202,1.2458129517301681 0.1290825604972653 -0.4071610259520134,1.07627043510281
8,0.34758265417485346 0.7503757077579636 0.5648865553917617,0.39967496716803624 0.7215640885577118 0.6300021189468269,0.08822559204116327
9,-0.2336591108178092 -0.7699083016314168 -0.6246799666255614,-0.32004593802012016 -0.9465600421780711 -0.775294916201328,0.24769615335720319
10,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-0.2666379427620061 -0.12583019949361382 0.13554838240462327,0.8478116739977064
11,-0.48075887971537856 0.060631861166586365 0.7092581180467896,-0.3028677856993222 0.027460457646608535 0.39107548788246116,0.3660406664292978
12,-0.35515071517162333 -0.14021877942376237 -0.6169159887661031,-0.44996145017106953 -0.20359623383099013 -1.0616462167527352,0.4591195409512834
13,0.23051414803814652 0.6481242136235081 0.44604612379657005,0.35507580320618204 0.926750189258407 0.5243835373209655,0.3150948914127171
14,0.8289382726191252 0.4408678701078228 0.9019293641763275,1.008815437563288 0.573603125975276 1.115209577355331,0.3089706975624533
15,0.3486618433966737 -0.37530556040317253 0.20829143488544966,0.3530040215987778 -0.4039689551934844 0.24752516605494637,0.048782480194476015
16,-0.5560113514484639 -0.27052925614452317 0.9451058728655102,-0.6939802132461299 -0.21867641237702412 0.95911852701995,0.1480556608474396
17,0.23906275587545278 0.5912753088472846 -0.9346377744488021,0.23551484424966132 0.5457809700810936 -0.9023958581833327,0.0558736404858939
18,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,-0.207179851949572 1.6683971291995188 -0.8169111365718663,0.7902344288725924
19,-0.48557222210726536 0.04656211699465551 0.054762287781279895,-0.29091369256115523 0.019154548891023034 0.03005177116199349,0.19812553481568473
0,-0.7489221763563643 -0.3399508697829996 -0.899079063409626,-0.8060620159866574 -0.30625815568300857 -0.8305698711647916,0.09536073446885263
