,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.5543789724695115 -0.0721813342477787 0.3298589096356468,0.4070918178438774
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,0.792906402973033 -0.025988963403377238 0.2774561748093669,0.35119012979153874
2,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.33546664151188516 0.4617673846334153 0.6782154340041641,0.37798351114878836
3,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.20071708747138753 -0.3635757132429364 0.001600882166615969,0.9752840073128364
4,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.6661705270931143 -0.38189553527119735 -0.11829646407382922,0.5152760875307523
5,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.5228337095069896 0.6233057520188805 0.6081243419811733,0.42317000705225843
6,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.8627828485899515 -0.29766498630191146 0.16681370467769135,0.3287550015421728
7,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.48048488203978307 0.22117400340441223 0.1747936122411103,0.6779128766883787
8,0.5155266537655077 0.9574464194595751 0.5963290434478494,0.25097465794360324 0.5876956059553304 0.8115271982101778,0.5030046405288073
9,0.6085875274862944 -0.17020497734407258 0.6095479289945955,0.7792816515530501 0.13141173352748267 0.08715258690348299,0.62690192032437
10,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.4583262043466414 -0.3017837379982068 0.44956190517602446,0.4581870344747876
11,0.15480697464233661 -0.06429261157976174 0.2950942449151539,0.2197475802159408 -0.016704379621785843 0.4959290322734192,0.21637128711174272
12,-0.20644321961593937 0.19178134687800852 0.301841616627041,-0.236013357717899 0.21915587975260648 0.36759727797213915,0.0771204584815381
13,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.16673953010429587 0.3519964092241584 -0.32455355838775657,0.37945314269718794
14,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.08378644367941164 -0.3328619660243635 -0.47222836332574925,0.36211558224200363
15,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.16479143806763344 0.41063996958064203 -0.3952762758034922,0.5131808660507539
16,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.05968819008373849 -0.26969496616851907 -0.5358475232081049,0.47093838064855725
17,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,-0.7534390360553822 -0.5517686915465734 -0.7802542186385679,0.5029645446485786
18,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,0.16645415068831354 -0.027733827203057795 0.24237416657493926,0.6461778900403101
19,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-0.4327226466120089 0.05548634817356049 0.3845944854314725,0.7372922306840067
0,0.998456615445664 0.694735214478744 -0.6511778926114262,0.7238969797959863 0.4643103523855209 -0.8791535828666,0.4247958638523774
