,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.5055786642088119 -0.15653571832539093 0.1375110579609204,0.4065501261100059
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,3.5798733277196706 -1.175513854796536 3.371869702531774,4.23091651457222
2,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.24005285809041013 0.3503471802086815 0.18610859330545815,0.6688046684921737
3,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.08422750782188722 0.07873623153988735 0.0024414766640022748,0.6865545512107324
4,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.7781604628994864 -0.6583696116800752 -0.4067297067965275,0.16335645572748766
5,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.44294912105410505 0.6370474795842165 0.3453194470342398,0.4518466260549021
6,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.048363316711418 -0.7042643404235602 0.599635780644436,0.48028467867714
7,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.4121069195485291 0.3306222738731246 -0.03652894657294364,0.6396918667173078
8,0.5155266537655077 0.9574464194595751 0.5963290434478494,0.20769751750571921 0.3998594816830143 0.20937768398016918,0.7452471569240473
9,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-3.3890990694624574 0.9747291641267757 -3.5290409318880918,5.866880779012945
10,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.4687812584578911 -0.4817522503688913 0.2457251729440846,0.31507228318643465
11,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.4349656435724026 0.10450989307314656 -0.7537955797149283,1.2151114726581624
12,-0.20644321961593937 0.19178134687800852 0.301841616627041,0.08719509965185313 -0.07310493968175623 -0.11722670997076347,0.5762000257786526
13,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.23609219756121486 0.5245913799637394 -0.46538771330624296,0.14905508373675594
14,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.31564503373381625 -0.4156474212711463 -0.39901464016213845,0.1617885440500873
15,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.28858654334013334 0.5474653413271455 -0.584411308248467,0.2908746658080356
16,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.3310418600629601 -0.45597273615180667 -0.6190050595325902,0.18995381772933764
17,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,6.2294459102434825 4.177923924980559 1.3332363219616077,8.771878841580794
18,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.3796899447036241 -0.017791387692737318 0.10009856320921001,0.11367040168058294
19,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-2.629658181416676 -0.7565870442050441 2.1809789901872465,2.225230477528553
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-0.3393600437741701 -0.2081884761841814 0.2217477196848962,1.8349451570685664
1,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.6970385614191508 -0.13276490486368756 0.6986047811662455,0.1523670469320027
2,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.971951683538146 0.8467943596188169 -0.868594870902795,0.11394356556571475
3,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.8882753243159573 0.30414716954629634 0.6823824173214548,1.8412015777686555
4,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.0237536245066377 -0.004402024947264303 0.007941607034952333,0.8094100281795915
5,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.09666290859657102 0.07960240438102079 0.0928787245620826,0.0738398173024997
6,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.0727351427742182 -0.3765460299838426 -0.6301634443043476,0.2057340739524223
7,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.0495555207298082 0.8560700875965545 0.22916337750864005,0.26799715259710194
