,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.5019722796382671 -0.15541912057459129 0.13653016657285988,0.41036116563922237
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,2.838674151260321 -0.9321281756594624 2.6737368866880487,3.184078041753852
2,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.24877224080731314 0.36307275728503013 0.19286857135714033,0.6526029763132019
3,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.06616933554162657 0.06185537550349038 0.0019180300210121762,0.7108723811748797
4,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.7581383811145327 -0.6414297505097069 -0.3962645446068336,0.1833385602051472
5,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.4437551170530092 0.6382066594882986 0.3459477948047265,0.4503118139532208
6,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.1605178591007552 -0.7796069659830878 0.6637851795278407,0.6285215830174615
7,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.42224455998419125 0.3387554295508275 -0.037427541836172196,0.6269049574598989
8,0.5155266537655077 0.9574464194595751 0.5963290434478494,0.23084600900117813 0.4444249821390464 0.23271343490853721,0.6902538485421649
9,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-3.202873486331214 0.9211693527243523 -3.3351257668353553,5.592743830603706
10,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.4661566604238785 -0.4790550307459083 0.24434941443373367,0.3190790114126344
11,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.3598173736483149 0.08645389768487849 -0.6235636073072673,1.0637175279927298
12,-0.20644321961593937 0.19178134687800852 0.301841616627041,0.05168144585472617 -0.04333006094334352 -0.06948149481188122,0.5096926231570978
13,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.23691618364225114 0.526422257899507 -0.46701196434889,0.14658411070150126
14,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.3020707120706716 -0.39777249471820975 -0.38185500672899403,0.1900257448484565
15,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.28514225155648065 0.5409313208730273 -0.5774363362210931,0.29878801233929453
16,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.3223061107129535 -0.4439402290462059 -0.6026703487336774,0.21011557020669053
17,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,7.002683652104854 4.696513942129339 1.4987259429993256,9.71739538804197
18,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.31631480833797754 -0.014821776206076973 0.08339082527229745,0.17343696734011418
19,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-2.394616666557454 -0.6889625269771007 1.9860408764231294,1.9125193493538282
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-0.36315700574398935 -0.22278728750920124 0.2372973465459393,1.866876387353795
1,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.6849146505175583 -0.13045566407484427 0.686453628287355,0.16043562878107603
2,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9660527129240208 0.8416549940225617 -0.8633231936107886,0.11249607505807094
3,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.949367897461305 0.3250653834083852 0.7293143725408723,1.921017562989848
4,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.05620071124188304 -0.010415123505536363 0.018789720433744432,0.8440595953390368
5,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.0888491129664051 0.07316770333039271 0.08537082538280702,0.06123707753896844
6,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.0777606163361682 -0.37831004613572067 -0.6331155893425616,0.21167449535337937
7,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.0369219667392602 0.8457655277540947 0.22640492610208784,0.2536223615448541
8,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.3526005548533427 -0.7031462962853574 -0.03763444082962688,0.1567025273770249
9,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.6353782264163322 0.7543134661302587 -0.6657465398953035,0.17168825969205717
10,0.942619589081253 0.47040988797254535 0.32417697153162406,0.8577036595245711 0.4649963638176146 0.32830538817616456,0.0851884097764614
11,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.24836498557787895 0.2239394476821308 -0.7148623897504218,0.10324431336447308
12,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5457807793363186 0.4446021698043502 -0.016938980846956653,0.07961283535580034
13,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.3225257886291202 -0.2144186259283505 0.15793690842132907,0.6099309051191337
14,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5299685159710522 0.9924409390171796 0.9978642358376731,0.29652989469174823
15,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.29722790989365 -4.210910758985363 -0.8284622444630703,5.843008360247451
16,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4628534495211616 0.540227990232845 0.8162984230715162,0.35950009800335553
17,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.1641001369331263 0.45902096968923467 0.17699719428718821,0.08565551406838744
