,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.5734097674608148 -0.1775373768684236 0.15596026761148218,0.33525388447017257
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,4.777958378284062 -1.568925980655235 4.50034166598742,5.923088265360498
2,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.3712979213420722 0.5418939011779944 0.28786049200958974,0.4301716785748292
3,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.1328282322215645 0.12416839483541413 0.0038502507990074166,0.6212666995048433
4,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.7934642740214273 -0.6713175378032235 -0.4147287184493471,0.1498848597321764
5,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.5062650678997244 0.728108196127693 0.39468003206293856,0.3315764096870467
6,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.9975218422716118 -0.6701103053750715 0.5705558169249316,0.4134022381816585
7,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.38002537719462687 0.304884117149078 -0.033685255067090816,0.6802175585638234
8,0.5155266537655077 0.9574464194595751 0.5963290434478494,0.2919067220677536 0.5619791319007246 0.29426809785103086,0.5455649037800241
9,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-3.3361065046590035 0.9594881229718479 -3.4738602108633794,5.788872044258923
10,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.5337369739597749 -0.5485052648138253 0.2797735785435608,0.2159139368278961
11,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.10486645154064674 0.025196430567392646 -0.18173358930720057,0.5502757130922694
12,-0.20644321961593937 0.19178134687800852 0.301841616627041,-0.050688426087647544 0.042497506700445394 0.0681464606104714,0.31805447110645974
13,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.23465352249100915 0.5213946773696059 -0.4625517801071371,0.15337819712655618
14,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.3255690504425353 -0.4287155564001449 -0.4115598334419158,0.14114866418557123
15,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.2920947902672686 0.5541206883824664 -0.5915157946621987,0.2829618707317509
16,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.33825101507587635 -0.4659025321478681 -0.6324852382238928,0.1736688366481369
17,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,5.291362714615058 3.5487764400985498 1.1324662041286484,7.624827261216206
18,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.2599641134582502 -0.012181313709386554 0.06853495755184935,0.22927760551801302
19,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-2.9145881452922713 -0.8385651205563782 2.4172934546598506,2.6043312765926347
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-0.3079351872517501 -0.18891015183889465 0.20121380473788833,1.792780042637601
1,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.69609895185064 -0.1325859374695188 0.6976630603299482,0.15293747837276744
2,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9604557420741656 0.8367787399588252 -0.8583214015926097,0.11184339426224384
3,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.7950525218709219 0.2722275037347244 0.6107676830824831,1.719410336274367
4,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.02410823412237953 -0.004467741249826848 0.008060164529967466,0.8097886679471774
5,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.09728398189622064 0.0801138614504051 0.09347548392685376,0.07484153615918732
6,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.0550061233113976 -0.3703228798062816 -0.6197487766726548,0.18485478675433642
7,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.0692846238898666 0.8721621329784782 0.233471094276431,0.2909048687911986
8,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.3470658112560809 -0.6921090633379438 -0.03704369592707011,0.15734530287975004
9,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.6262966220201633 0.7435318935089625 -0.656230874340397,0.1877870553171772
10,0.942619589081253 0.47040988797254535 0.32417697153162406,0.8899187559057785 0.4824614900426781 0.34063644168761553,0.056511353617321826
11,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.2643893941645027 0.23838793042607256 -0.7609850224956041,0.1431696475381693
12,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5413917803834553 0.4410268177003699 -0.016802762841459516,0.07395710412757456
13,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.33004631239936855 -0.21941835131444185 0.1616196163344875,0.60045464378651
14,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5289273344298104 0.9904911794459261 0.9959038216022805,0.29377559582719304
15,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.6285962680940087 -4.818322230317261 -0.9479654825163727,6.544825809950203
16,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4512105405222056 0.5266387530013261 0.7957647352149272,0.33245900828938757
17,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.16714383800713933 0.4675348115698602 0.1802801077595197,0.08667536445207623
18,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.30104348325257324 -0.9876044527526187 0.956987229015067,0.0291347030630088
19,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.6145378847285657 -0.4926743709501353 0.6776911120860398,0.2887555066735191
0,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,0.2008488049930106 -0.46774580483753825 -0.18784599126121718,0.5184369214908432
1,0.25609313514118703 0.7978578490565134 -0.16422872881286077,0.21733364859203944 0.6991378916612153 -0.20679286155428017,0.11427875210078287
