,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.535746426565066 -0.16587616855601123 0.1457163110928222,0.37474263086088966
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,2.657471735438198 -0.8726272015126509 2.5030629884790936,2.928162216737862
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,5.803547040655752 3.8922848645391133 1.242084741131113,8.25110017049635
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.2781833767454093 -0.01303502601106714 0.07333814526649501,0.21107565659626112
4,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-3.358825956396918 -0.9663781476649865 2.785734242710883,3.195412347829403
5,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.2897589888715219 0.42289121445503797 0.22464484799502232,0.5769363827710626
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.08673432608000903 0.08107961587956503 0.0025141410278944317,0.6831810847275774
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.7366118525356783 -0.623217038688712 -0.38501303662787406,0.2069788220676171
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.4559680122378482 0.6557711916797455 0.3554688662132881,0.42706480899675114
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.0823093883046586 -0.7270684650428549 0.6190520257716277,0.5250722740026962
10,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.3117346838908799 0.2500963345775258 -0.027632002940543864,0.7667324468907522
11,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-2.834674121199426 0.815272578374867 -2.9517228022087165,5.050729255767038
12,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.47628083310818725 -0.4894593352819589 0.24965629059160593,0.3036234269638431
13,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.258283352240719 0.06205815545235871 -0.44760512033544125,0.8591917606900056
14,-0.20644321961593937 0.19178134687800852 0.301841616627041,0.0009256412725625829 -0.0007760636740804868 -0.0012444493031020317,0.41465812928933593
15,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.2328857096529146 0.5174666382991355 -0.45906704667344994,0.15870451275812816
16,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.30327905542920863 -0.39936366437814363 -0.38338250324840883,0.1875119660030316
17,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.27904174002401205 0.5293582981335134 -0.5650823023690268,0.31312235135410565
18,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.31113659543969796 -0.42855548453182 -0.5817848133957697,0.23639661549933907
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4504589636815548 0.5257615361488853 0.7944392379317701,0.3307145481731313
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.1663346763112773 0.4652714241455016 0.1794073519375633,0.08630085044372808
2,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.7736490717704964 0.2648989214940965 0.5943253283094345,1.691448137981792
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.03950966353322884 0.00732193625788316 -0.013209361871339247,0.7418759715262804
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.08757527328151106 0.07211868977197883 0.08414685429661399,0.059182523350367694
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.1040995688464077 -0.3875554111901505 -0.6485880432329946,0.24292955956131826
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.0528841280817143 0.8587850665862695 0.2298901565004103,0.2718254149706828
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.3563050260505317 -0.7105336505199036 -0.03802983357690617,0.15681612957593305
8,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.5975274748460936 0.7093775044848342 -0.6260866871608921,0.23961616130640787
9,0.942619589081253 0.47040988797254535 0.32417697153162406,0.8640012214684716 0.4684105306715291 0.3307159218093097,0.07891516347603678
10,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.25255040643895466 0.22771325192335976 -0.7269091762646248,0.11282145572662235
11,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5356159510075261 0.43632173029131804 -0.01662350284023132,0.06651606245075285
12,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.33508287795938685 -0.2227667144681834 0.16408596048945168,0.5941133073934625
13,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.3031569803523214 -0.99453799977393 0.96370582564824,0.02688877727012329
14,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5599532918879223 1.048591669240527 1.0543218075713976,0.377152662122809
15,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9701641313835874 0.8452369889103322 -0.8669974060707274,0.11342405233144004
16,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.4563123627964414 -4.502518932223461 -0.8858337670461855,6.179929443638249
17,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.6156316284058357 -0.493551224097143 0.6788972547623593,0.2888025113439964
0,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,0.2836457769255646 -0.6605671476184986 -0.26528274407953245,0.2988996689257331
1,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,46.78068058464848 -3.3556258459267823 -4.293633008596581,46.48640182995485
2,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,0.25680125870045717 -0.3182276437252685 0.23938205160968895,1.435581887278772
3,-0.5152301896980707 0.7010663648362798 0.6557070663883529,-0.5458675912445397 0.717906348349456 0.7003688165953635,0.0567177868908603
4,0.9357128184894121 -0.77672857139621 0.6911347922515148,1.3230103152472563 -1.0033901524880582 0.9163582853177036,0.5020960517340128
5,0.25609313514118703 0.7978578490565134 -0.16422872881286077,0.21247931996484215 0.6835220627095744 -0.2021739702125749,0.12811978090323065
6,0.5113308204450631 -0.30465526504531293 0.16056298491899157,-0.13227909437523472 0.07507037662699281 -0.032051791625000145,0.771703140813569
7,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,-0.2039615773833948 -0.829103952412033 -0.7027262814089535,0.08891964325398159
8,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.49306461293116066 1.1154600058563162 -0.9124721770989599,0.2452676629655933
9,-0.8995145382342526 0.5016270419701312 0.2611113540046264,-1.0319854787545113 0.5743413172713537 0.2945298581712855,0.15476663831601728
10,-0.29627595380890814 0.12556689262733722 0.2541057537247253,-0.38491196922075965 0.1574914642416026 0.34141942361771094,0.12844920572360735
11,0.0671163560574306 0.4990436852714737 -0.8009967823673965,0.006193255647459003 0.5174828619174573 -0.764823807567766,0.07321278238668415
12,0.3518215619589069 -0.6388701133112387 0.7859289008117565,0.5671585764640812 -0.9248597838614508 1.004353315917138,0.4193677939369553
13,0.17689420517578291 -0.8858557416733306 0.2420105837194544,0.1511738402404519 -1.1233770097060225 0.338879179513637,0.2578011147986005
14,0.19847473117104486 0.8859207844181478 0.29582148960177035,0.26440196705943264 0.8072760834835021 0.2112826662231853,0.13295940010100296
15,0.8351815693278382 -0.6902839487677155 -0.5002385547754435,1.0520844029951502 -1.0430015852654333 -0.8859922990877656,0.5659174158836447
16,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-0.259845891943098 -0.32221709673704596 1.0855720141275944,0.1717746371769467
17,0.2873539117652848 0.17775149387141687 0.73788310182956,-0.038703398972560796 -0.02357024601656681 -0.0807144324750334,0.9038505053418298
18,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.9327971928878979 0.41032913323137016 -0.5121703233934342,0.06295281921864483
19,-0.6612428092374805 0.39467150813450713 -0.88674268530274,-0.480026310900989 0.1843535093491991 -0.5776979560523146,0.41542956630440403
0,0.9934538129293278 0.9010660246133175 -0.7785387784895517,138.72798790251792 121.16336008248813 -100.99912483972949,208.51375763579054
1,0.7030706459983662 -0.8745611643449909 0.4491601051209686,0.604169362463568 -0.7773877528774681 0.43170672587397274,0.13974532631972528
2,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.36096296754810153 0.11780581222563136 0.40652889191716524,0.17926273440874946
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,4.13735374792428 0.008082861431527104 1.0876961770813998,3.7399692712778827
4,0.06374102306523044 -0.1404857519151288 0.7630650185871208,0.0007037645937356646 0.006074537178010675 -0.03697180072551178,0.8157895111795325
5,-0.5810721896754905 -0.5169512858787069 0.8391336236869897,-1.6017034338857525 -1.442377307019429 2.3243209411833914,2.0258042416074398
6,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.5585439145662642 0.1381034760118326 0.5587313912612064,0.5449601126846468
7,0.22810105003051162 0.022032056398898936 -0.07375328130959202,1.1776345202993135 0.12201838084849881 -0.3848787081685664,1.0041962494830545
8,0.34758265417485346 0.7503757077579636 0.5648865553917617,0.3974067606607345 0.7174691201570169 0.6264267764230398,0.08574662616822748
9,-0.2336591108178092 -0.7699083016314168 -0.6246799666255614,-0.3152630918663967 -0.9324144133192693 -0.7637087160111486,0.22890268503144187
10,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-0.2893827521747424 -0.13656379530598242 0.14711096082861627,0.8217262738312625
11,-0.48075887971537856 0.060631861166586365 0.7092581180467896,-0.2956428098637818 0.026805382553456852 0.38174629843664787,0.37772500838177475
12,-0.35515071517162333 -0.14021877942376237 -0.6169159887661031,-0.4358417365585179 -0.1972074187153958 -1.0283319394236474,0.4231097143723163
13,0.23051414803814652 0.6481242136235081 0.44604612379657005,0.3662220183451442 0.9558418843169686 0.5408445061325055,0.34941883780612065
14,0.8289382726191252 0.4408678701078228 0.9019293641763275,1.0131182656469402 0.5760496742212846 1.1199662007275832,0.3158107852629092
15,0.3486618433966737 -0.37530556040317253 0.20829143488544966,0.3551458824213744 -0.4064200470387145 0.2490270312557411,0.05166761899207725
16,-0.5560113514484639 -0.27052925614452317 0.9451058728655102,-0.6621263566002733 -0.20863911310143587 0.915094758787176,0.12645730936756927
0,-0.7489221763563643 -0.3399508697829996 -0.899079063409626,-0.8112735654344027 -0.30823825087477075 -0.8359398747966889,0.0942334497759661
1,0.4833497251469756 0.9091897466229382 -0.21451008473400113,0.4911222331335753 0.7755558640551492 -0.20525978622429353,0.1341789643463612
2,-0.6596920086169953 -0.15710486182790317 0.9120426233588135,-0.5213976220066051 -0.24948567684081452 0.8200878690453387,0.19004007259324365
3,0.15689808217903778 -0.2566508667600682 0.1369822154602569,-0.11651864307378687 0.1649875616002856 -0.0430414456160276,0.5338016377508379
4,0.015134342796090383 0.8998724666561146 0.13880872595899318,0.0011776244772583237 0.22363097698681214 0.03134224726655215,0.6848696126847369
5,-0.6525950205732476 -0.11762935205216074 0.6283454126083559,-0.47171053887914355 -0.0005914882628960174 0.5663181235230286,0.22419732797108421
6,-0.6973159141067042 -0.645555975911358 0.6847685426688206,-0.6363358202046707 -0.5822453858580143 0.6609917818099542,0.09106117186893155
7,-0.009049349963646591 0.5685446704304429 0.07449062274473639,0.012617100951188679 -0.6263827103400182 -0.07084925495408567,1.2039288020724932
8,-0.8142038040976471 0.4796144734679235 0.8850483594868985,-0.6600327345368551 0.38370706039176067 0.7008623338727149,0.2586338001963955
9,-0.9193286493554131 -0.08871173520593345 -0.06441734041046643,0.22277138275173963 0.04062791630727634 0.007834421573256005,1.1516690261974012
10,-0.630533864971611 -0.9367623120990243 0.4049114758181418,0.6848957985752658 0.9761889646404996 -0.42318344405202357,2.464848673495637
11,0.8211101854347589 -0.15180026960360804 0.6223159317136948,1.1963593412470221 -0.13785522012836685 1.1022680270818748,0.6093934748510109
12,0.13422131737747933 -0.9994571215606669 -0.6641065472262091,-0.08623222791830261 0.5352652274745442 0.34419438565612376,1.8494981009757805
13,0.3270684165198672 0.40530285290193957 0.8328528516693943,0.17352167456852888 0.14625031889239146 0.43283204221199795,0.5007009739750758
14,0.9483010693778013 0.26109847508276895 -0.6262314443789425,0.7267158610346444 0.1991913629541587 -0.5201759348454184,0.2533382446276125
15,0.9421973623915547 -0.15721170493156178 0.11124711861779102,2.6702368065116913 -0.6609040992105686 0.27938695691493004,1.8077879725543415
16,-0.2332627846886135 0.3114746225806879 -0.47518458949006215,-0.25995375815175137 0.422719296982678 -0.4243354474454178,0.12519353375430833
0,-0.8107376686295642 0.671762821003419 -0.6754194628383123,-0.9494216796618229 0.8494728490606839 -0.8054064305195081,0.2602128374140326
1,0.9117377916955973 0.452352634825238 0.25237684863553644,-3.8501840945608814 -1.8803100066660516 -0.7312728168952984,5.39303084677962
2,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-14.720304497795736 23.648070500860655 19.41979553672223,32.587928842761784
3,0.8966228869889903 0.14305998979952528 0.44378847768839913,0.7213539391065112 0.09813799881578172 0.36357306313135906,0.19791842283711863
4,0.09208729051827058 0.6064053857407274 -0.31013453827118576,0.07618715030905812 0.514991015750883 -0.2702634583259918,0.10099061597647987
5,0.6369045426729651 0.3732187358582364 -0.23671605349161062,0.6461666541553389 0.37795222738380607 -0.2550030327779414,0.02103820958525822
6,0.500458164122882 0.24149497082571103 -0.6438540167082591,0.44285326047828155 0.17607577932268842 -0.6291129954651277,0.08840414723361853
