,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.5275064483692312 -0.1633249317313935 0.1434751403324672,0.3834167754226364
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,2.7278917357791412 -0.8957508370375662 2.5693913313741628,3.0276173575195764
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,6.030678136714986 4.0446156583216775 1.2906957141576507,8.52882935908613
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.2720503182952445 -0.012747645156896048 0.07172127247988802,0.21719032784088554
4,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-3.450863974175619 -0.9928586888690772 2.862068491965167,3.317875705896849
5,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.2783962203963918 0.40630772560889966 0.21583550127953507,0.597822553353604
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.06788164737874099 0.06345605187112824 0.0019676642735256206,0.7085653061372577
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.7401684444158645 -0.6262261250233452 -0.38687199971015784,0.20294975211055874
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.4479646366456274 0.6442607720697981 0.3492295012330934,0.442297060514009
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.1000141353176214 -0.738962072706049 0.6291786675827249,0.5484628905060999
10,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.29386288183272335 0.23575826949201034 -0.026047855546804832,0.789418966786449
11,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-2.9760215243547883 0.855925103811655 -3.0989066882880576,5.258802206438147
12,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.46918289118685685 -0.48216499611652963 0.24593570028493808,0.314459148740222
13,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.28127233646489175 0.06758175557717783 -0.48744503630671987,0.9054964058150894
14,-0.20644321961593937 0.19178134687800852 0.301841616627041,0.013243420075846614 -0.011103369681215221 -0.017804699695864866,0.4377193112157474
15,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.23298440253125705 0.517685931582764 -0.45926159123462496,0.15840676955474278
16,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.30262081503138305 -0.39849688082480755 -0.3825504053935126,0.18888133337333032
17,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.2771967964960752 0.5258583336980243 -0.5613461411179622,0.31753078699961157
18,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.31262640740274994 -0.43060753207956914 -0.5845705672660082,0.2328646523900399
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.45439358806154756 0.5303539059871648 0.8013784271721,0.3398486461323395
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.1659104591759689 0.46408480380229367 0.17894979447221676,0.08613419442993044
2,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.8077987696216793 0.2765918433371039 0.6205594842435003,1.7360625469626223
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.01485344729034849 0.002752642886424279 -0.004965989146682112,0.7681926185344563
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.09006290273573779 0.07416726547325375 0.08653709740274627,0.06319477838511788
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.0956923658474076 -0.3846043575830553 -0.643649347941336,0.2329337023828381
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.044302096848699 0.8517851317716773 0.22801632779445016,0.2619887178834254
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.35633562008253095 -0.7105946602942577 -0.03803309899799291,0.1568188848165315
8,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.5929055314400189 0.7038903882980582 -0.6212438349789071,0.24802426622466747
9,0.942619589081253 0.47040988797254535 0.32417697153162406,0.869415457414155 0.47134581023998634 0.33278834252721856,0.07371483265970472
10,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.25092510261925444 0.22624778915350727 -0.7222311071321421,0.10900966725664725
11,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5375302432234467 0.4378811448127909 -0.01668291526442916,0.06898199987944544
12,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.3350432992417013 -0.22274040210941604 0.16406657927861237,0.5941631232926579
13,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.3081936745447448 -1.0110613988452104 0.9797169744913444,0.03479488163027222
14,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5662140179302436 1.0603157634935334 1.0661099693578822,0.3942232094410187
15,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9682774460189056 0.8435932502839717 -0.8653113498001067,0.11295164722130771
16,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.459726235586384 -4.508776697767344 -0.8870649312252757,6.187159812128683
17,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.6274463791811031 -0.5030230972733728 0.6919261530465503,0.290062312394664
