,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.5348131182753866 -0.16558720050042167 0.14546246293940313,0.375724555609546
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,2.694731123544613 -0.8848619715535874 2.5381574709899932,2.9807840907114644
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,5.911487927300308 3.964677950424063 1.2651864283072742,8.383086757060491
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.2769571594472973 -0.012977568320521025 0.0730148746836538,0.21229709678045147
4,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-3.4093595322813033 -0.9809173182239832 2.827645647045382,3.26265092004213
5,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.2855098214622571 0.41668973103212503 0.2213505461668815,0.5847377689904332
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.07923274743928198 0.07406710835031492 0.002296695092853318,0.6932778048645855
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.7415086058166243 -0.6273599805493884 -0.387572476642075,0.20144305069116356
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.4535944168618833 0.6523574972395967 0.35361843101937535,0.4315814687591639
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.0930627227475913 -0.734292287040521 0.6252026454951846,0.5392767486548417
10,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.3050645396089336 0.2447450576031551 -0.0270407647628982,0.7751976151153448
11,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-2.900477300713448 0.8341980440664793 -3.0202431107608643,5.14759598164193
12,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.47662624508431223 -0.4898143046707736 0.24983734820864778,0.30309612238681516
13,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.26789416089299384 0.06436735986755415 -0.4642606543681306,0.8785496578459348
14,-0.20644321961593937 0.19178134687800852 0.301841616627041,0.005777121167993766 -0.004843576029004574 -0.0077668688989447005,0.4237407788499144
15,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.23361298044720494 0.5190826171138746 -0.4605006514067086,0.15651148763830589
16,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.30425021354184095 -0.40064250396699197 -0.38461016807262177,0.1854916395684141
17,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.27902686506356233 0.5293300794743703 -0.5650521793598389,0.31315776464619544
18,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.3132630567560155 -0.4314844445870163 -0.5857610184395987,0.23135758178504753
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4540063063701915 0.5299018829764436 0.8006954087474444,0.33894941563652964
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.16717845468417977 0.4676316413529395 0.1803174450514088,0.08669303296853344
2,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.7893304543210119 0.27026825686428124 0.6063719307972428,1.7119348156283591
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.031087753672472514 0.005761186768881981 -0.01039364427088518,0.750864412312582
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.08883435133950694 0.07315554705441542 0.08535664164781841,0.06121326876315346
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.1073284075397927 -0.38868878171468474 -0.6504847799306146,0.24677269168726573
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.0567563851523838 0.8619434735349359 0.2307356377459182,0.2762986242027666
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.357997883588009 -0.7139095003058209 -0.03821051890468076,0.15701321704420304
8,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.5984555041839739 0.7104792498664398 -0.6270590722614957,0.23793005944619197
9,0.942619589081253 0.47040988797254535 0.32417697153162406,0.8716968253261971 0.4725826334385928 0.33366158746399627,0.0715871299948553
10,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.25271032295159257 0.22785744139286998 -0.7273694597466902,0.11320230123060805
11,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5388509634428683 0.4389570256380068 -0.01672390544830514,0.07068347100707593
12,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.3369967992987709 -0.2240391100352789 0.16502318420910753,0.5917046514550713
13,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.3069560275340938 -1.0070011691220864 0.9757826179976415,0.03143293042454515
14,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.565174487584373 1.0583690960189527 1.0641526641162462,0.39138453503825943
15,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9725450531926947 0.847311321608956 -0.8691251419514688,0.11413132381882694
16,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.4943297483199287 -4.572206322420962 -0.8995441909896524,6.260448348192059
17,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.6237341522597037 -0.5000470088843999 0.6878324376659435,0.2895186052431417
0,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,0.28374839412972075 -0.660806127216858 -0.2653787179163489,0.2986313911597857
1,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,48.31197514974893 -3.4654671640982957 -4.43417856732788,48.02805064709558
2,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,0.27078006533341387 -0.3355501549910166 0.25241265522816864,1.4613586118697595
3,-0.5152301896980707 0.7010663648362798 0.6557070663883529,-0.5493450321223877 0.7224797594151785 0.704830505091737,0.06352533487572282
4,0.9357128184894121 -0.77672857139621 0.6911347922515148,1.3346514440362247 -1.0122189528806789 0.9244212948749857,0.518681346330453
5,0.25609313514118703 0.7978578490565134 -0.16422872881286077,0.21380112881165025 0.6877741730308401 -0.20343167069121684,0.12427348944413177
6,0.5113308204450631 -0.30465526504531293 0.16056298491899157,-0.14047705202945726 0.07972284096069063 -0.0340381919078623,0.7813255717170144
7,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,-0.20499245887377676 -0.8332944863797983 -0.7062780656499027,0.09063985463194425
8,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.4979112183554901 1.1264244806395847 -0.9214413719815278,0.25855222372815134
9,-0.8995145382342526 0.5016270419701312 0.2611113540046264,-1.0374896347179066 0.5774046008655168 0.29610075069702907,0.16125639076549977
10,-0.29627595380890814 0.12556689262733722 0.2541057537247253,-0.3884973186608212 0.15895845404261144 0.3445996519223075,0.133450073510261
11,0.0671163560574306 0.4990436852714737 -0.8009967823673965,0.006234637082856642 0.5209405237416722 -0.7699341257566216,0.07177007646650437
12,0.3518215619589069 -0.6388701133112387 0.7859289008117565,0.5720308442636627 -0.9328049419372215 1.012981376081641,0.4317900392768957
13,0.17689420517578291 -0.8858557416733306 0.2420105837194544,0.1528130653730245 -1.1355581372393007 0.34255375222463497,0.2702593502150209
14,0.19847473117104486 0.8859207844181478 0.29582148960177035,0.2664545960950878 0.8135432014901383 0.21292291474419145,0.12935204002647055
15,0.8351815693278382 -0.6902839487677155 -0.5002385547754435,1.068381057389407 -1.0591575479613382 -0.8997162077904335,0.5916351313711855
16,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-0.2622047077150984 -0.32514210264769544 1.0954265643358665,0.18054959185106526
17,0.2873539117652848 0.17775149387141687 0.73788310182956,-0.04197503267959033 -0.025562660465888145 -0.08753729726053437,0.9116540101579764
18,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.9417606526327661 0.41427207891764434 -0.517091884169191,0.05299213357580191
19,-0.6612428092374805 0.39467150813450713 -0.88674268530274,-0.4796496603207484 0.18420885716099836 -0.5772446678357946,0.4160043533477276
0,0.9934538129293278 0.9010660246133175 -0.7785387784895517,141.42677210932777 123.52044582689038 -102.96393992239769,212.60029491459804
1,0.7030706459983662 -0.8745611643449909 0.4491601051209686,0.5936234561499641 -0.7638182822612164 0.42417119201728176,0.1576931167680966
2,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.3598318279951932 0.11743664744765962 0.40525496370183867,0.1809990749411075
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,4.1846773841715965 0.008175314341654734 1.1001373995071162,3.7888988303317226
4,0.06374102306523044 -0.1404857519151288 0.7630650185871208,0.0008928951622849624 0.007707015822684477 -0.04690764824291869,0.8258127539596761
5,-0.5810721896754905 -0.5169512858787069 0.8391336236869897,-1.6341623951868987 -1.4716074804708361 2.3714239453258528,2.0900433154854268
6,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.5545705245440857 0.1371210304792558 0.5547566675604941,0.5506032277016543
7,0.22810105003051162 0.022032056398898936 -0.07375328130959202,1.194034226402146 0.12371760548107011 -0.3902385185260261,1.0215330427761404
8,0.34758265417485346 0.7503757077579636 0.5648865553917617,0.39728485636540917 0.7172490369169507 0.626234620369565,0.08562283749164395
9,-0.2336591108178092 -0.7699083016314168 -0.6246799666255614,-0.31600724521341683 -0.9346153030662219 -0.7655113894348075,0.23182558359801142
10,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-0.2813480197316461 -0.13277209193578718 0.14302641466675306,0.8309292959910106
11,-0.48075887971537856 0.060631861166586365 0.7092581180467896,-0.29663035727206455 0.02689492163638226 0.3830214607442188,0.37612743908677776
