,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.513216631574539 -0.15890056239967756 0.13958848932321044,0.3984844445095229
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,2.7599746508049483 -0.9062858218436123 2.599610112666441,3.0729286968468656
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,6.16382812102232 4.133915816484003 1.3191926941306606,8.69164243890043
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.2625008208119888 -0.012300177915886966 0.06920371574503689,0.22673685246331807
4,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-3.490285898418883 -1.0042008919549619 2.894764143869626,3.370329646913879
5,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.27223265207178954 0.3973122535294351 0.2110569994122431,0.6091831968672805
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.05618673482317151 0.05252359801340206 0.001628667467964785,0.7243271735723136
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.7227709443469846 -0.6115068146617342 -0.37777865657673515,0.22303968898735485
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.4422618462088787 0.6360590439216934 0.34478365328675625,0.45315542090278726
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.1009810500056025 -0.7396116218882094 0.6297317169259268,0.5497408711608645
10,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.28230294197053407 0.22648404132020333 -0.025023188389856923,0.804101676309463
11,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-3.058774224429015 0.8797253730039563 -3.1850763929206587,5.380619825304894
12,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.4431586835961464 -0.4554207090003285 0.23229436374346346,0.35418815429598355
13,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.2933581435077035 0.07048563182674347 -0.5083897432296302,0.9298406676561475
14,-0.20644321961593937 0.19178134687800852 0.301841616627041,0.020212921710399668 -0.016946645262529085 -0.0271746270199533,0.4507683104295865
15,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.2315312958519629 0.5144571622883962 -0.45639721027814967,0.1627949584869903
16,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.2957749520316379 -0.38948211740984057 -0.3738963818242833,0.20312362225904435
17,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.27450365280397604 0.5207492845595119 -0.5558923052939343,0.32402236938788126
18,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.3060086607266536 -0.42149233420554416 -0.572196244953931,0.24860641306557002
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4434482774791975 0.5175788836890823 0.7820750390745423,0.31444965707203726
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.16248569911230684 0.4545050635610302 0.17525587359132183,0.08554972346994502
2,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.8330145902951491 0.2852257885517015 0.639930542061815,1.7690056716540963
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.003366329089301347 -0.000623848567938128 0.0011254729891890733,0.7876427963915578
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.08158285255417075 0.06718390035911528 0.07838902637403791,0.04951745321383013
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.0818893127522642 -0.3797592801381315 -0.6355409350316434,0.21656106812586476
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.0277235263981703 0.8382628187758475 0.22439650861988544,0.24332881121974978
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.35306775220868164 -0.7040779683588103 -0.037684306636651975,0.1566927875552507
8,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.5865071050155439 0.6962942526211289 -0.6145395916231116,0.25969096745923576
9,0.942619589081253 0.47040988797254535 0.32417697153162406,0.8566096856757104 0.4644032756849212 0.3278866450530399,0.08629915731129766
10,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.24979984608448727 0.22523319635045916 -0.7189923109159432,0.10643748895486942
11,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5313086643543258 0.43281294239609214 -0.016489820876916972,0.0609686745790492
12,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.3225481045823945 -0.21443346181498676 0.15794783626893966,0.6099027729277858
13,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.30491529983574317 -1.0003063496894542 0.9692953480387687,0.027698379580064773
14,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5610366985179915 1.0506205012576766 1.0563617263522986,0.3801021306011878
15,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9640153810592917 0.8398800075073432 -0.8615025105068829,0.11217628851603753
16,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.427240263566434 -4.449228610045722 -0.8753493320993455,6.118356902870001
17,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.6208454339238378 -0.49773112645576256 0.6846468590544621,0.28918907108214525
0,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,0.27068922301663945 -0.6303933373423457 -0.2531649885746584,0.33289048118861936
1,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,-1.9084183736468485 0.13689279290973852 0.17515880532082845,2.531949929289699
2,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,0.308602222266441 -0.3824193017479796 0.2876692796261531,1.5311048712543485
3,-0.5152301896980707 0.7010663648362798 0.6557070663883529,-0.544781373883266 0.7164777925021161 0.698975158536005,0.054616045147413944
4,0.9357128184894121 -0.77672857139621 0.6911347922515148,1.2913301013873646 -0.9793634202325426 0.8944155792657683,0.45699848164712764
5,0.25609313514118703 0.7978578490565134 -0.16422872881286077,0.21105336074152206 0.6789349123467778 -0.2008171707010386,0.1323252063419704
6,0.5113308204450631 -0.30465526504531293 0.16056298491899157,-0.21427585198574772 0.12160477047876911 -0.05191995750012006,0.8679583295182949
7,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,-0.20270211121307236 -0.8239842215630179 -0.6983869348036497,0.08725895633109977
8,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.4967941263874609 1.1238972836343233 -0.9193740661693589,0.2554737219165597
9,-0.8995145382342526 0.5016270419701312 0.2611113540046264,-1.0368436334808713 0.5770450752626126 0.29591638119121777,0.1604947041631594
10,-0.29627595380890814 0.12556689262733722 0.2541057537247253,-0.38764450650400145 0.15860951546433733 0.34384320198487106,0.1322604890577175
11,0.0671163560574306 0.4990436852714737 -0.8009967823673965,0.0061718205668114074 0.5156918351117898 -0.7621767248491409,0.0741511575431809
12,0.3518215619589069 -0.6388701133112387 0.7859289008117565,0.561133677735412 -0.9150350421274485 0.9936841181525035,0.404030766218614
13,0.17689420517578291 -0.8858557416733306 0.2420105837194544,0.15221455263387076 -1.1311105724350194 0.34121209479468373,0.2657065243104561
14,0.19847473117104486 0.8859207844181478 0.29582148960177035,0.2620912875789454 0.8002210819570793 0.20943621051465114,0.13730958340216
15,0.8351815693278382 -0.6902839487677155 -0.5002385547754435,1.0585885226673946 -1.049449553802553 -0.8914696162360365,0.5761704106356781
16,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-0.25970248883307584 -0.32203927236034 1.08497291132164,0.17124761375371245
17,0.2873539117652848 0.17775149387141687 0.73788310182956,-0.05769697122287157 -0.03513727068514053 -0.12032478829789682,0.9491588489827952
18,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.916610547044255 0.4032087726539736 -0.5032827327149855,0.08159176506127476
19,-0.6612428092374805 0.39467150813450713 -0.88674268530274,-0.46793123641289286 0.17970841099295423 -0.5631418793302724,0.433930845811444
0,0.9934538129293278 0.9010660246133175 -0.7785387784895517,147.15909238949854 128.52698557936287 -107.13728187272645,221.28025550255845
1,0.7030706459983662 -0.8745611643449909 0.4491601051209686,0.5824842668338134 -0.7494854314260646 0.4162117302382914,0.17683497734507536
2,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.3620503430854754 0.11816069394450888 0.4077535315950499,0.17759369943729975
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,4.290106515956555 0.008381283933568785 1.12785435836108,3.8979058895336824
4,0.06374102306523044 -0.1404857519151288 0.7630650185871208,-0.0010152935741066685 -0.008763496512049324 0.05333776668205541,0.7247460970642646
5,-0.5810721896754905 -0.5169512858787069 0.8391336236869897,-1.6894053307068146 -1.5213552395636396 2.4515900417235352,2.199373854930883
6,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.5476430331128102 0.13540816489832067 0.5478268508989835,0.5604448524663136
7,0.22810105003051162 0.022032056398898936 -0.07375328130959202,1.2276126933674858 0.12719677503653135 -0.4012127526921714,1.0570302023170717
8,0.34758265417485346 0.7503757077579636 0.5648865553917617,0.3985532519556787 0.719538969445146 0.6282339747829643,0.08695862125995772
9,-0.2336591108178092 -0.7699083016314168 -0.6246799666255614,-0.31828671871157715 -0.9413570181584684 -0.7710332974011204,0.24078162688563848
10,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-0.2748453989914914 -0.12970341365058413 0.13972073463641524,0.8383869677940128
11,-0.48075887971537856 0.060631861166586365 0.7092581180467896,-0.30118139244704556 0.02730755551351194 0.38889794674062933,0.36876716589222014
12,-0.35515071517162333 -0.14021877942376237 -0.6169159887661031,-0.4451656506075749 -0.20142625520512206 -1.0503309308300126,0.44687532455633117
13,0.23051414803814652 0.6481242136235081 0.44604612379657005,0.3592964663424555 0.9377661478932061 0.5306167028739394,0.32806938052918927
14,0.8289382726191252 0.4408678701078228 0.9019293641763275,1.0121962016176023 0.5755253971435517 1.1189468917458172,0.3143449147044741
15,0.3486618433966737 -0.37530556040317253 0.20829143488544966,0.3536675608178817 -0.4047282928459488 0.24799043739845344,0.04966653996230929
16,-0.5560113514484639 -0.27052925614452317 0.9451058728655102,-0.6865616313536715 -0.21633878251063396 0.9488656419931718,0.14140056180894972
0,-0.7489221763563643 -0.3399508697829996 -0.899079063409626,-0.8102587226254719 -0.307852667779665 -0.8348941762718249,0.09440427012037915
1,0.4833497251469756 0.9091897466229382 -0.21451008473400113,0.48771039137827427 0.7701680528300927 -0.20383383996880455,0.1394992077300042
