,original position,computed position,offset
0,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.038593772809002 -0.697701404385072 0.594047862800418,0.4674122045088295
1,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,5.439359042343122 3.648033646491112 1.1641406230877294,7.805787932065232
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.44228396392935015 0.5162199335296191 0.7800216303429355,0.3117498098339278
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.1635033346230521 0.4573515940250654 0.17635348772848936,0.08558099054619134
2,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.6973742692233517 -0.1328288471147389 0.6989412432934087,0.15216559319364656
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.038376065397362095 0.007111857696067749 -0.012830363250388051,0.7430857860905402
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.08700090170733406 0.07164569181468144 0.08359496836633516,0.058256129337797835
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.091804623965561 -0.38323970221488535 -0.6413655476656267,0.2283170409693612
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.0384743684079154 0.8470317443631472 0.22674388254851932,0.255374636530912
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.35919704119755 -0.7163008273193642 -0.03833850970186042,0.1572077051849101
8,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.24962478335780813 0.22507535022641298 -0.7184884324853388,0.10604254986753475
9,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5206692764947789 0.42414591873597574 -0.01615961432879456,0.0472759767385762
10,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.30606171103257457 -1.0040672708376 0.9729396749735828,0.029475995924746014
11,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.550950136200183 1.031731987928164 1.037369994775476,0.3527249156432265
12,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9641661756078492 0.8400113843806405 -0.8616372696452795,0.11219674647939451
13,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.332478391595699 -4.275526303668278 -0.841174824291789,5.917662763530373
14,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.6174341133040767 -0.4949962743299375 0.6808849727298966,0.2889057880886819
0,0.2873539117652848 0.17775149387141687 0.73788310182956,-0.10601858488471007 -0.0645649786426381 -0.22109763322963646,1.064473223799914
1,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.8738492941391884 0.38439848036942975 -0.479803840522684,0.13244968217986702
0,0.23906275587545278 0.5912753088472846 -0.9346377744488021,0.23840013189085948 0.5524673218174062 -0.9134510917733001,0.04421961612959331
1,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.3779554162988086 0.12335155903832257 0.42566637133370283,0.15319738219724147
2,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,-0.1959988837921909 1.5783579917066204 -0.772824526221149,0.6895588251350594
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,3.941633254771974 0.007700495861202373 1.036241927542053,3.53760767554041
4,-0.48557222210726536 0.04656211699465551 0.054762287781279895,-0.3079339783416467 0.020275210807110304 0.03180998930870219,0.18103357448335503
5,0.22810105003051162 0.022032056398898936 -0.07375328130959202,1.1191730405034048 0.11596100482585049 -0.36577211912619245,0.9423942599558185
6,0.34758265417485346 0.7503757077579636 0.5648865553917617,0.3954664657911475 0.7139661559633197 0.6233683164752404,0.08389655091966938
7,-0.2336591108178092 -0.7699083016314168 -0.6246799666255614,-0.31449586880602054 -0.9301452931520762 -0.761850157386778,0.22588965475892223
8,-0.35515071517162333 -0.14021877942376237 -0.6169159887661031,-0.4493809523923162 -0.2033335731931588 -1.0602765810419148,0.45763678783766937
9,0.3486618433966737 -0.37530556040317253 0.20829143488544966,0.35340990945989115 -0.40443344308922297 0.24780977318142255,0.04932217293254578
0,0.4833497251469756 0.9091897466229382 -0.21451008473400113,0.49338185364693704 0.7791241446611717 -0.20620417275829622,0.13071607624796788
1,-0.6596920086169953 -0.15710486182790317 0.9120426233588135,-0.5211115672175439 -0.24934880131693346 0.8196379435901964,0.1903998633246971
2,0.20474108500020494 0.9078198758589864 -0.05414619750365035,-0.08014009693193534 -0.39106450505434226 0.03677804971880399,1.332863511966857
