,original position,computed position,offset
0,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.0644251775715163 -0.7150542981264829 0.6088227355120093,0.5014655015859669
1,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,5.6140402483148195 3.765187692001571 1.2015261838456397,8.01937903704237
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4463380465247211 0.5209517312401061 0.7871714986933315,0.321152290179882
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.1651483872591178 0.46195313592691295 0.1781278293377046,0.0858865786211119
2,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.6876663458275254 -0.13097977936237992 0.689211506554437,0.15847438598305846
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.051648226709606414 0.00957145644843035 -0.017267677211332752,0.7289220714928847
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.0871069054219242 0.07173298642103258 0.08369682222065136,0.05842710089950478
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.1012540613231998 -0.38655659562195516 -0.646916489137189,0.23954454954433044
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.0457078284421255 0.8529317169161061 0.22832325981801405,0.2635923243657004
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.3584508935970471 -0.7148128803647882 -0.0382588704405638,0.15708135112096852
8,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.25110050685811486 0.2264059432036046 -0.7227359685282538,0.10941569638895018
9,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5277521798466431 0.4299157705115966 -0.01637944098587099,0.05638970314925057
10,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.3049278292970698 -1.0003474538902928 0.9693351779475465,0.027712819167737556
11,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5553752726557114 1.0400186812823098 1.0457019716280682,0.3647122131455164
12,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9666325134143311 0.8421601341372551 -0.8638413384327583,0.11260415096152093
13,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.393309983780277 -4.387033048346522 -0.8631128641259954,6.046495890425427
