,original position,computed position,offset
0,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.0562064232977582 -0.7095331438992742 0.604121827862618,0.4906248142153299
1,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,5.523864958464917 3.704709520052689 1.1822267190933071,7.90911713808185
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.44433449805962294 0.5186132524802441 0.7836379969892846,0.31650492812829745
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.16433855599166192 0.45968787557661994 0.17725435132077802,0.08569687258397095
2,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.6945083569215712 -0.13228297692167687 0.6960688913931772,0.1539249816514856
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.04513941119618842 0.00836524186592735 -0.015091569095448253,0.7358678975001868
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.08702524864226051 0.07166574164131702 0.08361836216128501,0.05829539808882436
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.0969956178243059 -0.3850618184589062 -0.6444149253162271,0.23448214230254427
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.042544804777198 0.8503517962807293 0.22763263490882343,0.25998846432922706
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.35893733302428177 -0.7157829244470203 -0.03831079002942853,0.15716173242961579
8,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.2503903823997178 0.22576565617349445 -0.7206920360223541,0.10778023486838553
9,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5243042170544164 0.42710700223527 -0.01627242920035233,0.05195205932402391
10,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.30559305658898295 -1.0025298011993518 0.9714498692070119,0.028641582285684693
11,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5532078441955169 1.0359598651989683 1.0416209757217323,0.35883597693646757
12,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.965919253552819 0.8415387200917829 -0.8632039262364288,0.11247226562801708
13,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.362485686385888 -4.330530876760854 -0.8519965240826887,5.981213809694534
14,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.6174090685492866 -0.49497619597656256 0.6808573542410329,0.2889041331067189
0,0.2873539117652848 0.17775149387141687 0.73788310182956,-0.11241764628339128 -0.068461986539773 -0.23444262676711944,1.0797479794155305
1,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.8873282651404293 0.39032775902716965 -0.4872047300079356,0.11628208993311316
0,0.23906275587545278 0.5912753088472846 -0.9346377744488021,0.2394599321879086 0.5549232979409431 -0.9175118099059745,0.04018613078513707
1,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.3758847812955626 0.12267577548069845 0.42333435107369566,0.15637143764326486
2,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,-0.19907447297496905 1.6031253815606934 -0.7849515889219323,0.7172464500937318
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,3.990359208304695 0.007795688381474928 1.0490518143951593,3.5879868731648266
4,-0.48557222210726536 0.04656211699465551 0.054762287781279895,-0.3059824738260339 0.02014671844112275 0.03160839629804504,0.18299276941801684
5,0.22810105003051162 0.022032056398898936 -0.07375328130959202,1.1343975839815301 0.11753846719837525 -0.37074785864920484,0.9584887380269855
6,0.34758265417485346 0.7503757077579636 0.5648865553917617,0.39660085798134415 0.7160141618031303 0.625156443183812,0.08494680405575668
7,-0.2336591108178092 -0.7699083016314168 -0.6246799666255614,-0.3155116653452148 -0.9331495881633869 -0.7643108725503702,0.22987898599188553
8,-0.35515071517162333 -0.14021877942376237 -0.6169159887661031,-0.44982172904690215 -0.20353301353810438 -1.0613165565055822,0.4587626376644357
