,original position,computed position,offset
0,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.074324607842534 -0.7217044885893243 0.6144849448852991,0.514529763697827
1,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,5.707423784484331 3.8278175495496303 1.2215122827841796,8.133564336568927
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4481258568122713 0.5230384071837768 0.790324519849354,0.32530019458353576
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.16524846022542566 0.4622330600689204 0.17823576729919274,0.0859152848725476
2,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.6807843723490673 -0.1296689701694399 0.6823140695372917,0.1635127232494595
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.03341562648660905 0.00619258847766221 -0.011171927648735789,0.7483798796142257
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.08752351322486952 0.07207606509805389 0.08409712055578283,0.05909904044572856
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.0991961952628893 -0.3858342539512568 -0.6457076241408131,0.23709764720255488
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.049588173084146 0.8560967204933246 0.22917050693024366,0.26803462803687994
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.356462334358196 -0.71084735040604 -0.03804662370986346,0.15683061294453662
8,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.2517186709692077 0.22696331375764206 -0.7245152139910778,0.11085712057541494
9,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5319873141116171 0.43336578186214275 -0.0165108836106661,0.061842596243026945
10,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.3044869032455766 -0.9989009501258381 0.9679335179758373,0.02727588715748783
11,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5575570988953765 1.044104459242342 1.0498100767470766,0.3706364660022768
12,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9704071182102492 0.8454486865469163 -0.8672145538105894,0.11349058185041312
13,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.423835742962943 -4.442987987434146 -0.8741215406519486,6.1111464223899485
14,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.6172886338945485 -0.4948796436414857 0.6807245430716462,0.2888962612237562
0,0.2873539117652848 0.17775149387141687 0.73788310182956,-0.03894461799663034 -0.02371714762965837 -0.08121748536306937,0.9044258487971175
1,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.9199345543235752 0.4046709736942185 -0.505107843142195,0.07771768603386396
0,0.23906275587545278 0.5912753088472846 -0.9346377744488021,0.23568107436665423 0.546166190956653 -0.9030327835098769,0.05518282104919429
1,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.37033174028416094 0.12086345519999477 0.41708032555836394,0.1648868688309803
2,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,-0.20415024315918812 1.6440000145143303 -0.8049653747758639,0.7629500514198506
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,4.084465645050549 0.00797953760839035 1.0737920753744317,3.685286485777188
4,-0.48557222210726536 0.04656211699465551 0.054762287781279895,-0.29511924297574316 0.019431453770682325 0.030486210110386595,0.19390136176450112
5,0.22810105003051162 0.022032056398898936 -0.07375328130959202,1.16125992952218 0.12032175849305463 -0.37952710609130197,0.9868860075173524
6,0.34758265417485346 0.7503757077579636 0.5648865553917617,0.3966965668472268 0.7161869524111257 0.6253073077444207,0.08503948920952427
