,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.5048281113806574 -0.15630333445634417 0.13730691700173528,0.40734313150925167
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,3.2246687081342307 -1.0588762217335836 3.0373037597355834,3.7292360845238366
2,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.23925384231269997 0.3491810498535178 0.1854891309770301,0.67029091842721
3,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.04669141151206074 0.04364732951035334 0.0013534294740987294,0.7371324864699136
4,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.7103655519436983 -0.6010111215898214 -0.3712945933848273,0.23787492261535084
5,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.4325923522518381 0.6221524202003764 0.33724539630049105,0.47157456132790326
6,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.0606071723532098 -0.7124894574038608 0.6066389386325405,0.4964288291332163
7,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.26540048618578854 0.2129236566226723 -0.02352496335401205,0.825581258774994
8,0.5155266537655077 0.9574464194595751 0.5963290434478494,0.22065253102354124 0.4248004874910887 0.22243749691808104,0.714462963121143
9,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-2.4601632469639974 0.7075605688059673 -2.561747715164815,4.49942437789122
10,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.4328973545916156 -0.4448754530829519 0.22691559315743545,0.3698534316159539
11,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.3020446164961278 0.07257274462891099 -0.5234434033031239,0.9473380513874562
12,-0.20644321961593937 0.19178134687800852 0.301841616627041,0.029688827004768444 -0.024891306003107065 -0.039914209933312426,0.4685108610649009
13,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.2290842815312507 0.5090199532973594 -0.45157362690306324,0.17020433396147874
14,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.2921930660023847 -0.38476542133597896 -0.3693684317147641,0.21057580208343452
15,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.2715306291660213 0.5151092869979893 -0.5498716897323037,0.3312620605148984
16,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.30274487190566096 -0.4169968340937255 -0.5660933859588297,0.256416296157999
17,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,4.663743486482451 3.127848892645045 0.998142098363165,6.857432138992403
18,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.26865244283478723 -0.012588428615894884 0.07082548249045047,0.22058371901309942
19,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-3.494011337765484 -1.0052727495688254 2.8978539389622235,3.3752866391167076
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-0.3640447910144995 -0.22333192046183387 0.23787745125454332,1.868067651698022
1,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.6764249805428038 -0.1288386369992868 0.6779448823396246,0.16692529593360278
2,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9539188409208742 0.8310835895519215 -0.8524796309475101,0.11198572487309698
3,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.9078677960807975 0.3108556693419884 0.6974335595497831,1.8667985630511816
4,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.0005642575578147074 0.0001045682879043915 -0.00018864960121829527,0.7834465399600535
5,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.073031413319837 0.060141745991381806 0.07017236104928637,0.035724999405710944
6,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.0956493461013797 -0.38458925701075947 -0.6436240765856686,0.2328825961373704
7,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.0110630692659197 0.824673714898154 0.22075881004000508,0.2251260907453264
8,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.3644222858803829 -0.7267208660724144 -0.03889622057080159,0.15858121352032228
9,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.5770062232977071 0.6850149189551069 -0.6045846091156375,0.2770643788623746
10,0.942619589081253 0.47040988797254535 0.32417697153162406,0.8248140924576836 0.4471655793458361 0.31571616582304324,0.12037449128240539
11,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.23981367750989455 0.2162291208772129 -0.6902493851968691,0.08678334652913594
12,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5441106655430007 0.4432416671182125 -0.016887146801808254,0.0774605829109033
13,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.313681127131034 -0.20853859948680037 0.153605786562893,0.6210866079656461
14,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5332361418600065 0.9985600302610217 1.00401676549259,0.305198252568433
15,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.1560180850016977 -3.9520674947401995 -0.7775369496908854,5.543961477896875
16,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4291905413881246 0.5009377025080436 0.7569297852155659,0.2814200971984122
17,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.15350792817860406 0.429392439058374 0.1655725162467389,0.0903759372525659
