,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.5191589445067384 -0.09690263993111908 0.3178882955961776,0.4265303292584055
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,0.9786269402327831 -0.07846927030979774 0.2578624868623075,0.46919744809808306
2,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.3434005521245227 0.46110411640947685 0.6999367910051132,0.3788686312114478
3,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.2003829766812281 -0.33880814711623497 0.004795017941482026,0.9534012611769215
4,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.6032996535261075 -0.4104161956881643 -0.13878576411092913,0.5209150182321873
5,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.53079262602561 0.6752465089076591 0.6329993625629632,0.38484868848187054
6,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.0232486118704565 -0.379511024363562 0.17613935825372484,0.3966922304594733
7,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.4699916256758585 0.18345542585543373 0.16721397515772582,0.7069285867692128
8,0.5155266537655077 0.9574464194595751 0.5963290434478494,0.28420903905341977 0.6391350624503712 0.8535988361381136,0.47012520152404325
9,0.6085875274862944 -0.17020497734407258 0.6095479289945955,0.9609812610711757 0.09139400748443136 0.030255907246168723,0.7267699902958128
10,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.4129645770966594 -0.3136891796269796 0.4326690552816375,0.4687962187452088
11,0.15480697464233661 -0.06429261157976174 0.2950942449151539,0.18709533932092515 -0.0348592824574296 0.4761949365222833,0.1862963227157789
12,-0.20644321961593937 0.19178134687800852 0.301841616627041,-0.258650258259214 0.23078096414100482 0.3795641934141043,0.10142654471577704
13,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.15362536691896328 0.3263072169799527 -0.31849698194280895,0.4071706513243507
14,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.1344603201560462 -0.3663599529641175 -0.4927231249261658,0.3007593868466662
15,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.17775674911627448 0.4200289431494707 -0.3807904879425573,0.5061676551012281
16,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.10439723279004984 -0.2998882028348167 -0.5516613944700413,0.41769240190317447
17,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,-0.6129189546012583 -0.48387245453441935 -0.942342574229911,0.7132745620504469
18,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,0.13317545924922408 -0.039874654024047496 0.24005536604621916,0.6122035645469238
19,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-0.4732786945191275 0.09544349073561592 0.40332738632932297,0.7157299249562917
0,0.998456615445664 0.694735214478744 -0.6511778926114262,0.6943726210648791 0.5336776773475871 -0.8781565559652039,0.4122207169990305
1,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.5271585097579807 -0.28188165514681557 0.46477001451545463,0.344546046088462
2,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.8616135288995861 0.9112171394111125 -0.9026878836655663,0.12012672109523499
3,0.524791672853085 -0.20519735085596813 -0.3824335625669195,0.46223656157421494 0.09757017067857948 0.8987980210660635,1.3180044328233371
4,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.17552768669662233 -0.08067114835776096 0.5540318818622506,1.2356340322948542
5,0.05095035471296483 0.041879851465419726 0.04883681227123615,-0.015885115347533382 -0.02601321831469168 0.06754106126555115,0.09708912355571124
6,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.13679468287848 -0.4389070275696693 -0.664826671126743,0.29662812489928225
7,-0.8142563129777287 0.798089848543561 0.1147297788115973,-0.9957900951452201 0.709095213238848 -0.01617215804486158,0.24085239515899656
8,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.40329363772903254 -0.7771062029361934 -0.14093629329919813,0.10829484145955359
9,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.6646015998686104 0.8316004966097735 -0.6567384987907631,0.1304433965922819
10,0.942619589081253 0.47040988797254535 0.32417697153162406,0.7990875454300622 0.3647393122240586 0.3259267674092365,0.17824359713413923
11,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.24692213600019752 0.22760124074379134 -0.5519529203114237,0.07774639572061406
12,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.561070900139395 0.2445637691517436 -0.13128278080317604,0.2055269328526376
13,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.323065599408746 -0.11591832219960851 0.13517395122653292,0.6894749103768633
14,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.3248966837057336 0.7248952274662056 0.8779959073957168,0.08679583867091462
15,-0.6162954966159528 0.7727801919585868 0.07428498656102334,-0.6260894897779359 0.769072417213527 -0.4817589351050425,0.5561425291392441
16,0.3476189086939534 0.35288727366640305 0.531931095515876,0.19773476161842346 0.4795546308813153 0.7372222153555881,0.2839970436701979
17,0.0819896682451775 0.47723447282386866 0.1932146640568464,-0.016246860796729927 0.4438819279035634 0.21893912299782467,0.10688571316442895
18,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.30719291527742065 -1.07835215688665 1.0280522601598134,0.10798202537106126
19,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.3925864144449649 -0.6294068997940578 0.7186051645515443,0.04442138017142913
0,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,0.14696776234759712 -0.052196778140271155 0.15556005667929823,1.0485459962834962
1,0.25609313514118703 0.7978578490565134 -0.16422872881286077,0.2460162322798502 0.7461181767965428 -0.1855214177376164,0.056849945105447525
2,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.8496053696001811 0.43126425262725654 -0.6085549322293442,0.12835010317391538
3,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,-0.2766034810563713 0.2882300955379948 -0.1403980280289584,0.9440895852177453
4,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,-0.15736464272320894 0.8643410510687336 -0.5723603302944554,0.46104554442655843
5,-0.5152301896980707 0.7010663648362798 0.6557070663883529,-0.5726367389593535 0.7964172304040997 0.6485374083299529,0.11152893552479975
6,0.9357128184894121 -0.77672857139621 0.6911347922515148,0.9280488538448527 -0.7620888628503145 0.7563591024200254,0.06728497646087049
7,0.5113308204450631 -0.30465526504531293 0.16056298491899157,0.0063158815783714295 0.3147634661851325 0.33569366553001995,0.818162825095925
8,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,-0.08368808167460082 -0.8113648283616742 -0.6864190373859261,0.05447806051434736
9,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.55428802626932 1.3474575402474809 -1.3284913319838316,0.6648704270161665
10,-0.8995145382342526 0.5016270419701312 0.2611113540046264,-0.9317442877619291 0.41356072622425494 0.15358797002966595,0.14267344120436679
11,-0.29627595380890814 0.12556689262733722 0.2541057537247253,-0.31972630582307504 0.07234723448405428 0.225718009892116,0.06471564743075738
12,0.0671163560574306 0.4990436852714737 -0.8009967823673965,0.07759619392292409 0.3628995284528632 -0.988255813617344,0.23175634451338387
13,0.17689420517578291 -0.8858557416733306 0.2420105837194544,0.3493354802351909 -1.0984135688877261 0.32902935873513117,0.2872091406265619
14,0.19847473117104486 0.8859207844181478 0.29582148960177035,0.1440709566583284 0.9444514637823245 0.25619407293699026,0.0891960944189074
15,0.8351815693278382 -0.6902839487677155 -0.5002385547754435,0.9499073825026042 -0.9630770653802478 -0.5897183660111128,0.30916780766852325
16,-0.6612428092374805 0.39467150813450713 -0.88674268530274,0.08012918827425167 0.16796254978269032 -0.5308425166684333,0.8530500105652831
17,0.3518215619589069 -0.6388701133112387 0.7859289008117565,0.5436260457623319 -1.0098969961253745 0.9532870101686969,0.44995404714859766
18,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-0.349280658395741 -0.3264522535329938 1.0331783589636014,0.11354494554088376
19,0.2873539117652848 0.17775149387141687 0.73788310182956,0.21421676879713125 0.2523646183354214 0.7164427989018751,0.10665761394976007
0,0.9934538129293278 0.9010660246133175 -0.7785387784895517,1.1795291642650003 0.8857698272965192 -1.0104528456611104,0.297728306647357
1,0.7030706459983662 -0.8745611643449909 0.4491601051209686,0.48049798458074416 -0.25876248162373167 -0.05559861862513249,0.8267575076463196
