,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.5047754007243938 -0.1562870143443107 0.13729258036409261,0.40739882635274155
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,3.1470594570405774 -1.0333918703140643 2.964203887633248,3.6196240366684136
2,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.24315568165832463 0.3548756223874222 0.188514155705728,0.6630355788412867
3,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.06646041667225358 0.06212747937894162 0.0019264674995288142,0.7104801771452717
4,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.7394407073712604 -0.6256104165951942 -0.3864916253672185,0.20377060130655147
5,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.4392722197569672 0.631759376294955 0.3424529653947559,0.4588492375788921
6,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.0695836656058582 -0.7185196417866222 0.6117732527135461,0.5082722638089235
7,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.3614418186931356 0.2899750290533278 -0.03203801794624892,0.703729806746076
8,0.5155266537655077 0.9574464194595751 0.5963290434478494,0.218029965732876 0.419751522003206 0.21979371641824358,0.7206933707495112
9,0.6085875274862944 -0.17020497734407258 0.6095479289945955,3.6656234633174027 -1.0542595601873563 3.816983504406173,4.518258977617905
10,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.45190116661717916 -0.4644050930668954 0.2368769875441053,0.34084166024401696
11,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.37885658615494383 0.09102847982180884 -0.6565585678077771,1.1020728258697217
12,-0.20644321961593937 0.19178134687800852 0.301841616627041,0.0643961726389851 -0.05399017072410576 -0.08657540943606327,0.5335029535036985
13,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.23514663831635085 0.5224903692813677 -0.4635238158148882,0.15189520258747974
14,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.30290732198725395 -0.39887415866750114 -0.3829125858737454,0.18828529876735645
15,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.2798883632788886 0.5309643913485398 -0.5667967835719595,0.3111103224077144
16,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.3149363805261464 -0.4337892589020076 -0.5888899154309043,0.22740321916045866
17,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,5.0941039495985185 3.4164802253710818 1.0902485568234703,7.383633959846573
18,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.33408353302485067 -0.01565437731685022 0.0880752364241502,0.15620774961275383
19,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-2.9266354683518476 -0.8420312929314194 2.427285231791424,2.620360576721545
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-0.36077315404508015 -0.22132485708537902 0.23573966853405215,1.8636776495016971
1,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.6929715027266299 -0.13199025236915662 0.6945285839439655,0.1549048038648834
2,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9611767664490793 0.8374069186884531 -0.8589657526282143,0.11188751303360103
3,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.9376908548368826 0.32106714168572503 0.7203439459680581,1.9057617094587707
4,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.006183743314837091 -0.0011459721581346476 0.0020674259373649148,0.790650717288468
5,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.08241047943935313 0.06786545537279538 0.07918425311224675,0.0508523177822758
6,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.095359709586164 -0.3844875902753333 -0.6434539336149139,0.23253852793460533
7,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.0186100450964297 0.8308294066483353 0.22240664137158916,0.23329516331570416
8,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.36302386082608246 -0.7239321654194244 -0.03874696117731417,0.15813040941852508
9,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.6024145039268299 0.7151793272286846 -0.6312072949588937,0.23074574982307464
