,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.5009422078364555 -0.15510019289658963 0.1362499999573155,0.41145000022658984
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,3.423373849529111 -1.124124521141366 3.2244634116759707,4.009880518506403
2,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.24631174233014821 0.3594817619090956 0.190960991859616,0.6571716243570249
3,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.05951036690914405 0.05563054338364758 0.0017250085611239308,0.7198466086204339
4,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.729175313458616 -0.6169252883649209 -0.3811260987755904,0.21553714197269647
5,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.4411723817422096 0.6344921809128302 0.34393431585879536,0.4552302213031514
6,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.1063714912748093 -0.7432327859489266 0.6328149051746511,0.5568664402132744
7,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.3664211304813637 0.29396979669166484 -0.032479381596443084,0.6974274297489919
8,0.5155266537655077 0.9574464194595751 0.5963290434478494,0.2279342233940245 0.4388192093901428 0.2297780944480726,0.6971679763471759
9,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-2.6909686696070123 0.7739418613199204 -2.802083499724256,4.8391851954805665
10,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.4496668707236232 -0.4621089750901416 0.23570581712091404,0.3442525864477115
11,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.3350824663638824 0.08051080182507887 -0.5806980061932793,1.0138894220005727
12,-0.20644321961593937 0.19178134687800852 0.301841616627041,0.04339960843240555 -0.03638651448683121 -0.05834723890291676,0.4941841998030495
13,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.23370635548212826 0.5192900942729274 -0.4606847133724649,0.15623010197222464
14,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.29604732235293363 -0.38984077986157695 -0.374240691837519,0.2025569597747762
15,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.277678644932109 0.5267724280124989 -0.562321923535329,0.3163763211543179
16,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.3117782676426752 -0.42943931544688446 -0.5829846566425687,0.23487447906495434
17,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,5.006823629989051 3.357943633075332 1.071568678392483,7.276915036363555
18,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.3009701460821786 -0.014102761022727478 0.07934547546474588,0.18849304870047548
19,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-2.755676489796558 -0.7928441593413884 2.2854957235397886,2.3928968121015646
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-0.3741040443439154 -0.22950300825081166 0.24445045985839375,1.8815656254577189
1,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.6848167731016939 -0.1304370213676473 0.6863555309445741,0.16050672165552274
2,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9580560910519291 0.8346880897906126 -0.8561769281530612,0.11178214138360582
3,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.9741583185613626 0.3335536709956259 0.7483586339467615,1.9534059311888412
4,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.026510391182796737 -0.004912909325303031 0.008863283540488943,0.8123536318456634
5,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.07742092590951775 0.06375653227572237 0.07439003188805954,0.042804758328172446
6,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.0976931620800363 -0.38530666689330556 -0.6448246880556198,0.23531108731370728
7,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.01401118479301 0.827078345684876 0.22140251120505053,0.22830114677052496
8,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.3650257994099537 -0.7279243760988018 -0.038960635938009275,0.15879434745618703
