,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.5432942027360732 -0.16821308790868372 0.14776921158092263,0.36680718005519836
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,2.9377495501192 -0.9646613111551511 2.7670556455088544,3.324005669047022
2,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.32656814509781507 0.47661264977694384 0.2531823140370062,0.5098896955195283
3,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.089614794775822 0.08377229023313283 0.002597636281215805,0.6793055188228239
4,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.746601967932554 -0.6316692650713954 -0.3902346803632736,0.19577742894177477
5,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.4782269092435198 0.6877838395478417 0.37282171700413935,0.3847482233107101
6,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.07556789288089 -0.7225396964829418 0.6151960706779077,0.5161710192117037
7,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.34643523832195433 0.27793565409982013 -0.03070784233739964,0.7227340873692577
8,0.5155266537655077 0.9574464194595751 0.5963290434478494,0.27619101735600504 0.5317232404688494 0.2784252611422507,0.5827388667230946
9,0.6085875274862944 -0.17020497734407258 0.6095479289945955,11.08468388482306 -3.1880344705818313 11.54238998176746,15.439654306017964
10,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.48823849257663166 -0.5017478584558975 0.2559242415556778,0.28536900123465314
11,0.15480697464233661 -0.06429261157976174 0.2950942449151539,-0.20800861069086973 0.04997856263555217 -0.3604789794284557,0.7579375321842167
12,-0.20644321961593937 0.19178134687800852 0.301841616627041,-0.02728885084320934 0.02287915035182672 0.036687637447574604,0.36184371283252825
13,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.2365115787273981 0.5255232351752689 -0.46621440238766915,0.1477969652040567
14,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.3064860319329379 -0.4035866724137346 -0.3874365210180123,0.18084049073747113
15,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.28228464549476806 0.5355102771200962 -0.5716494506731559,0.3054542993081077
16,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.3164782094996024 -0.43591295400078206 -0.591772934319578,0.2237685633342761
17,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,5.211467875133411 3.4951930931745516 1.1153669783758295,7.527137469016074
18,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.2589945741407203 -0.01213588335200643 0.06827935559553383,0.23024919683213826
19,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-3.1150349660277032 -0.8962362919246726 2.583539511947148,2.8710336179674063
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-0.346747941512789 -0.2127207574607336 0.2265751868745636,1.8448582898470949
1,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.6928330986782921 -0.13196389055601265 0.6943898689068742,0.1549942658594863
2,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.9536204833025931 0.830823651169604 -0.852213000515851,0.11201550170055385
3,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.8884225940797612 0.3041975949950221 0.6824955514980684,1.841393980956904
4,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.0036703673429772147 -0.0006801929787555105 0.0012271228377674255,0.7879673899077988
5,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.08096756946811672 0.0666772115605267 0.0777978305461136,0.048525074228290443
6,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.0861814792760094 -0.38126589458572574 -0.6380623089778126,0.22164661938682445
7,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.0305309817165778 0.8405527200463219 0.22500949757593747,0.24645373635857262
8,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.36225693646454943 -0.7224027860213481 -0.03866510433078447,0.15790886398088733
9,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.59618289812419 0.7077812390079739 -0.624677845524502,0.2420603747034473
10,0.942619589081253 0.47040988797254535 0.32417697153162406,0.852127460467184 0.46197327739748034 0.32617097243040694,0.09090642319817036
11,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.25146228810054205 0.22673214494827645 -0.7237772739398303,0.11025733131439308
12,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.529222887821341 0.4311138338759649 -0.016425086225055067,0.05828305686244016
13,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.32094204166747237 -0.2133657338517878 0.15716136703002664,0.6119276186686186
14,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5462980554589344 1.023020309328221 1.028610710300972,0.3401671549245173
15,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.4568280307174883 -4.503464172174381 -0.8860197352739907,6.1810215954220595
16,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4379602971131759 0.5111734855946309 0.7723963173900322,0.30172771546393923
17,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.15993658053511142 0.4473746680414097 0.1725064131429567,0.08600093448965439
18,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.30636282960519795 -1.0050551216288424 0.9738969009042238,0.03008423885150138
19,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.6154260542657687 -0.49338641552690193 0.6786705547149575,0.2887927734661912
0,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,0.311988599988132 -0.7265731992115356 -0.2917906722373053,0.22562490823900175
1,0.25609313514118703 0.7978578490565134 -0.16422872881286077,0.21319167318334653 0.685813622854677 -0.20285177395555828,0.1260404049477118
2,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.8994182282464825 0.395646025548478 -0.49384295786823973,0.10186596566207322
3,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,43.44887172887828 -3.1166318045750385 -3.987832316886169,43.132064081062055
4,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,0.24651481050299803 -0.3054806961879213 0.22979334832316503,1.4166141959724363
5,-0.5152301896980707 0.7010663648362798 0.6557070663883529,-0.5350324324199452 0.7036563187995865 0.6864668969992535,0.036674294233964205
6,0.9357128184894121 -0.77672857139621 0.6911347922515148,1.3092999395707896 -0.9929920053367206 0.9068620507070153,0.4825717148138085
7,0.5113308204450631 -0.30465526504531293 0.16056298491899157,0.008210599338247727 -0.004659638679617384 0.001989463417094153,0.6068549204271392
8,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,-0.20513734356702423 -0.8338834427575462 -0.7067772492854923,0.09090655698800278
9,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.5166890596806858 1.1689055884807111 -0.9561919042765973,0.311471107902213
10,-0.8995145382342526 0.5016270419701312 0.2611113540046264,-1.0192960276540448 0.567279128693576 0.2909082740406612,0.13980578722785533
11,-0.29627595380890814 0.12556689262733722 0.2541057537247253,-0.3713948857750953 0.15196078337334243 0.3294296825650902,0.10960467902603913
12,0.0671163560574306 0.4990436852714737 -0.8009967823673965,0.006232284382063696 0.5207439417807664 -0.7696435836442083,0.07183866915885934
13,0.17689420517578291 -0.8858557416733306 0.2420105837194544,0.14985982133831657 -1.1136124987123872 0.3359336060816679,0.24784174873509948
14,0.19847473117104486 0.8859207844181478 0.29582148960177035,0.2605648616192195 0.7955605751378615 0.20821644898961414,0.14033814471093034
15,0.8351815693278382 -0.6902839487677155 -0.5002385547754435,1.0565198172999202 -1.0473987079088392 -0.8897274964788706,0.5729076774848014
16,-0.6612428092374805 0.39467150813450713 -0.88674268530274,-0.47359318745480905 0.181882876268371 -0.5699558757090208,0.42525905650463103
17,0.3518215619589069 -0.6388701133112387 0.7859289008117565,0.5629022251508461 -0.9179189946025824 0.9968159520606177,0.40852989230647385
18,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-0.25825142028789266 -0.3202399016244818 1.0789107050213893,0.1659599741524619
19,0.2873539117652848 0.17775149387141687 0.73788310182956,-0.07968953924155471 -0.04853067417158745 -0.1661894330944707,1.0016344956645689
0,0.9934538129293278 0.9010660246133175 -0.7785387784895517,126.63804221146741 110.60414657921284 -92.19719559230185,190.20699064610795
1,0.7030706459983662 -0.8745611643449909 0.4491601051209686,0.5874674683893947 -0.7558973418937401 0.41977245635515054,0.16825228477502605
2,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.29971432300756856 0.09781637572795253 0.3375485647505754,0.2734067899701234
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,3.679938504568246 0.0071892409547743095 0.9674432710332459,3.267035117348344
4,0.06374102306523044 -0.1404857519151288 0.7630650185871208,3.827841657020075e-05 0.00033039977663098613 -0.00201093093076681,0.780530868565585
5,-0.5810721896754905 -0.5169512858787069 0.8391336236869897,-1.4923716312010207 -1.3439210586330432 2.1656634811684943,1.8094272961254902
6,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.5794411247037741 0.14327044190954702 0.5796356156008012,0.5153039087090079
7,0.22810105003051162 0.022032056398898936 -0.07375328130959202,1.0467555240669573 0.10845760037537715 -0.34210436848335984,0.8658388005274785
8,0.34758265417485346 0.7503757077579636 0.5648865553917617,0.3931098711022651 0.7097116135514391 0.6196536488841862,0.08201055156747003
9,-0.2336591108178092 -0.7699083016314168 -0.6246799666255614,-0.31738948636560566 -0.938703385706514 -0.7688597979316807,0.2372559376554256
10,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-0.37135162113008807 -0.17524605870059307 0.18878075275448183,0.7286956487135061
11,-0.48075887971537856 0.060631861166586365 0.7092581180467896,-0.2915920238455828 0.0264381053350119 0.37651575496793,0.38427957594027434
12,-0.35515071517162333 -0.14021877942376237 -0.6169159887661031,-0.43032669562016335 -0.19471200146566064 -1.0153196639382374,0.4090799771139751
13,0.23051414803814652 0.6481242136235081 0.44604612379657005,0.35667920652782664 0.9309350825076065 0.5267514776254416,0.3200202551079016
14,0.8289382726191252 0.4408678701078228 0.9019293641763275,0.9923325504706154 0.5642311088456694 1.0969883320573657,0.28277938336681613
15,0.3486618433966737 -0.37530556040317253 0.20829143488544966,0.3468927287397684 -0.3969753448092338 0.24323994920986453,0.041159542956139404
16,-0.5560113514484639 -0.27052925614452317 0.9451058728655102,-0.6343552834693221 -0.1998883180150311 0.8767136201801674,0.12571958499644895
17,0.23906275587545278 0.5912753088472846 -0.9346377744488021,0.25110824519657965 0.5819170426194799 -0.9621433466031052,0.031451986571779916
18,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,-0.19671845152413978 1.5841525934835357 -0.7756617851930776,0.6960362173427096
19,-0.48557222210726536 0.04656211699465551 0.054762287781279895,-0.2110280316387074 0.013894659662849128 0.021799476194264054,0.27843890216038836
0,-0.7489221763563643 -0.3399508697829996 -0.899079063409626,-0.8574557523135854 -0.3257848801644712 -0.8835262046889362,0.11055362403069326
1,-0.6596920086169953 -0.15710486182790317 0.9120426233588135,-0.49901675075370816 -0.23877656238162856 0.7848857886397363,0.22058029326425763
2,-0.9193286493554131 -0.08871173520593345 -0.06441734041046643,0.07286119740993784 0.01328805609523819 0.002562381800528746,0.9996654103434784
3,0.20474108500020494 0.9078198758589864 -0.05414619750365035,-0.05809533508945452 -0.2834913399470857 0.026661224582311432,1.2226345472360367
4,0.15689808217903778 -0.2566508667600682 0.1369822154602569,-0.1189726734374215 0.16846240884453942 -0.043947953035355966,0.5381093724992404
5,-0.34061654539923025 0.9243184679200338 -0.07576408272836321,-0.4345296826020128 1.4966988430771604 0.05729012816251468,0.595098642445163
6,0.015134342796090383 0.8998724666561146 0.13880872595899318,0.001215816452724054 0.2308836360062154 0.03235871929287403,0.6775480682793711
7,-0.6973159141067042 -0.645555975911358 0.6847685426688206,-0.63299176327527 -0.5791855836979475 0.6575181534551529,0.09635978961705675
8,-0.009049349963646591 0.5685446704304429 0.07449062274473639,0.010137894413596466 -0.5033011786539776 -0.05692767845681923,1.0800427975024867
9,-0.8142038040976471 0.4796144734679235 0.8850483594868985,-0.6483148403491961 0.3768949153306776 0.688419571205498,0.27700782714294875
10,-0.630533864971611 -0.9367623120990243 0.4049114758181418,0.9067306885104077 1.292372495007313 -0.5602507949234109,2.8746760694917035
11,0.8211101854347589 -0.15180026960360804 0.6223159317136948,1.1479253003952605 -0.13227421688533933 1.0576432284844686,0.5447010569249447
